xenocanto_10_1,ioc_12_2,comment
amazilia viridigaster,saucerottia viridigaster,10.2
amazilia tobaci,saucerottia tobaci,10.2
calliphlox evelynae,nesophlox evelynae,10.2
calliphlox lyrura,nesophlox lyrura,10.2
atthis heloisa,selasphorus heloisa,10.2
atthis ellioti,selasphorus ellioti,10.2
claravis geoffroyi,paraclaravis geoffroyi,10.2
claravis mondetoura,paraclaravis mondetoura,10.2
anurolimnas castaneiceps,rufirallus castaneiceps,10.2
gallirallus lafresnayanus,cabalus lafresnayanus,10.2
gallirallus sylvestris,hypotaenidia sylvestris,10.2
gallirallus okinawae,hypotaenidia okinawae,10.2
gallirallus torquatus,hypotaenidia torquata,10.2
gallirallus insignis,hypotaenidia insignis,10.2
gallirallus pacificus,hypotaenidia pacifica,10.2
gallirallus philippensis,hypotaenidia philippensis,10.2
gallirallus owstoni,hypotaenidia owstoni,10.2
gallirallus wakensis,hypotaenidia wakensis,10.2
gallirallus rovianae,hypotaenidia rovianae,10.2
gallirallus dieffenbachii,hypotaenidia dieffenbachii,10.2
gallirallus modestus,cabalus modestus,10.2
gallirallus striatus,lewinia striata,10.2
amaurornis akool,zapornia akool,10.2
amaurornis flavirostra,zapornia flavirostra,10.2
amaurornis olivieri,zapornia olivieri,10.2
porzana astrictocarpus,zapornia astrictocarpus,10.2
porzana bicolor,zapornia bicolor,10.2
porzana parva,zapornia parva,10.2
porzana pusilla,zapornia pusilla,10.2
porzana spiloptera,laterallus spiloptera,10.2
porzana albicollis,mustelirallus albicollis,10.2
porzana fusca,zapornia fusca,10.2
porzana paykullii,zapornia paykullii,10.2
porzana tabuensis,zapornia tabuensis,10.2
porzana nigra,zapornia nigra,10.2
porzana monasa,zapornia monasa,10.2
porzana atra,zapornia atra,10.2
porzana sandwichensis,zapornia sandwichensis,10.2
porzana palmeri,zapornia palmeri,10.2
porzana flaviventer,laterallus flaviventer,10.2
porzana cinerea,poliolimnas cinereus,10.2
laterallus viridis,rufirallus viridis,10.2
mascarenotus grucheti,otus grucheti,11.1
mascarenotus sauzieri,otus sauzieri,11.1
mascarenotus murivorus,otus murivorus,11.1
megascops nudipes,gymnasio nudipes,11.1
pyrroglaux podargina,otus podarginus,11.1
glaucidium brodiei,taenioptynx brodiei,11.1
glaucidium sylvaticum,taenioptynx sylvaticus,11.1
sceloglaux albifacies,ninox albifacies,11.1
pseudoscops clamator,asio clamator,11.1
nesasio solomonensis,asio solomonensis,11.1
campethera nivosa,pardipicus nivosus,11.1
campethera caroli,pardipicus caroli,11.1
hylopezus nattereri,cryptopezus nattereri,11.1
polioxolmis rufipennis,cnemarchus rufipennis,11.1
tijuca atra,lipaugus ater,11.1
tijuca condita,lipaugus conditus,11.1
pachycephala occidentalis,pachycephala fuliginosa,11.1
oenanthe heuglini,oenanthe heuglinii,11.1
caprimulgus centralasicus,caprimulgus europaeus,11.1
chaetura viridipennis,chaetura chapmani,11.1
tauraco leucotis,menelikornis ruspolii,11.1
tauraco ruspolii,menelikornis leucotis,11.1
tauraco porphyreolophus,gallirex porphyreolophus,11.1
ruwenzorornis johnstoni,gallirex johnstoni,11.1
musophaga violacea,tauraco violaceus,11.1
musophaga rossae,tauraco rossae,11.1
corythaixoides concolor,crinifer concolor,11.1
corythaixoides personatus,crinifer personatus,11.1
corythaixoides leucogaster,crinifer leucogaster,11.1
nesoclopeus poecilopterus,hypotaenidia poeciloptera,11.1
nesoclopeus woodfordi,hypotaenidia woodfordi,11.1
crex egregia,crecopsis egregia,11.1
atlantisia rogersi,laterallus rogersi,11.1
ninox jacquinoti,athene jacquinoti,11.1
oceanodroma microsoma,hydrobates microsoma,11.2
oceanodroma tethys,hydrobates tethys,11.2
oceanodroma castro,hydrobates castro,11.2
oceanodroma monteiroi,hydrobates monteiroi,11.2
oceanodroma jabejabe,hydrobates jabejabe,11.2
oceanodroma monorhis,hydrobates monorhis,11.2
oceanodroma leucorhoa,hydrobates leucorhous,11.2
oceanodroma socorroensis,hydrobates socorroensis,11.2
oceanodroma cheimomnestes,hydrobates cheimomnestes,11.2
oceanodroma markhami,hydrobates markhami,11.2
oceanodroma tristrami,hydrobates tristrami,11.2
oceanodroma melania,hydrobates melania,11.2
oceanodroma macrodactyla,hydrobates macrodactylus,11.2
oceanodroma matsudairae,hydrobates matsudairae,11.2
oceanodroma homochroa,hydrobates homochroa,11.2
oceanodroma hornbyi,hydrobates hornbyi,11.2
oceanodroma furcata,hydrobates furcatus,11.2
phalacrocorax gaimardi,poikilocarbo gaimardi,11.2
phalacrocorax harrisi,nannopterum harrisi,11.2
phalacrocorax perspicillatus,urile perspicillatus,11.2
phalacrocorax penicillatus,urile penicillatus,11.2
phalacrocorax pelagicus,urile pelagicus,11.2
phalacrocorax urile,urile urile,11.2
phalacrocorax brasilianus,nannopterum brasilianum,11.2
phalacrocorax auritus,nannopterum auritum,11.2
phalacrocorax aristotelis,gulosus aristotelis,11.2
phalacrocorax magellanicus,leucocarbo magellanicus,11.2
buteo burmanicus,buteo refectus,11.2
pseudoscops grammicus,asio grammicus,11.2
charmosyna palmarum,vini palmarum,11.2
charmosyna rubrigularis,vini rubrigularis,11.2
charmosyna meeki,vini meeki,11.2
charmosyna toxopei,charmosynopsis toxopei,11.2
charmosyna multistriata,synorhacma multistriata,11.2
charmosyna wilhelminae,charminetta wilhelminae,11.2
charmosyna rubronotata,hypocharmosyna rubronotata,11.2
charmosyna placentis,hypocharmosyna placentis,11.2
charmosyna diadema,vini diadema,11.2
charmosyna amabilis,vini amabilis,11.2
charmosyna margarethae,charmosynoides margarethae,11.2
charmosyna pulchella,charmosynopsis pulchella,11.2
stymphalornis acutirostris,formicivora acutirostris,11.2
muscisaxicola fluviatilis,syrtidicola fluviatilis,11.2
xolmis pyrope,pyrope pyrope,11.2
xolmis cinereus,nengetus cinereus,11.2
xolmis coronatus,neoxolmis coronatus,11.2
xolmis rubetra,neoxolmis rubetra,11.2
xolmis salinarum,neoxolmis salinarum,11.2
deltarhynchus flammulatus,ramphotrigon flammulatum,11.2
hylophilus semibrunneus,pachysylvia semibrunnea,11.2
hylophilus aurantiifrons,pachysylvia aurantiifrons,11.2
hylophilus hypoxanthus,pachysylvia hypoxantha,11.2
hylophilus muscicapinus,pachysylvia muscicapina,11.2
hylophilus ochraceiceps,tunchiornis ochraceiceps,11.2
hylophilus decurtatus,pachysylvia decurtata,11.2
riparia cincta,neophedina cincta,11.2
notiochelidon cyanoleuca,pygochelidon cyanoleuca,11.2
notiochelidon murina,orochelidon murina,11.2
notiochelidon flavipes,orochelidon flavipes,11.2
notiochelidon pileata,atticora pileata,11.2
