ebird2021,bird_genera,comment
ayheag1,hieraaetus,
ayweye3,zosterops,
azaspi1,synallaxis,
azbpit1,pitta,
azchum1,saucerottia,
azhjay1,cyanolyca,
aznjay1,cyanocorax,
azrpar1,tanygnathus,
azrtan1,poecilostreptus,
azstan1,thraupis,
aztthr,ridgwayia,
azugal1,porphyrio,
azujay1,cyanocorax,
azukin1,ceyx,
azutit2,cyanistes,
azwmag2,cyanopica,
azwmag3,cyanopica,
babcra1,zapornia,
babcuc2,cacomantis,
babcuc4,coccyzus,
babcus1,coracina,
babfir1,lagonosticta,
babhon1,ramsayornis,
babowl1,pulsatrix,
babpar1,arborophila,
babpic1,picumnus,
babpit1,hydrornis,
babshr1,lanius,
babsta1,neocichla,
babtan1,tangara,
babwar,setophaga,
babwoo1,hylexetastes,
babwoo2,dryobates,
babwoo3,meiglyptes,
babwre1,campylorhynchus,
bacant1,gymnocichla,
bacant2,thamnophilus,
bacbab1,turdoides,
bacdov1,macropygia,
baceag2,spizaetus,
bacfan1,rhipidura,
bacori1,oriolus,
bacspa,peucaea,
bactro1,apaloderma,
bacwar,vermivora,
baeant1,rhegmatorhina,
baemyn1,streptocitta,
baeowl1,bubo,
baepig2,patagioenas,
baepoc1,aythya,
baerai1,gymnocrex,
baerob1,turdus,
bafbul1,nok,
bafcur1,crax,
baffal1,micrastur,
bafibi1,phimosus,
bafrai2,gymnocrex,
bagbab2,leonardina,
bagcot1,lipaugus,
bagcuc1,neomorphus,
bagtan1,bangsia,
bagtan2,bangsia,
bagwea1,ploceus,
bahant1,herpsilochmus,
bahgoo,anser,
bahlau1,melanocichla,
bahmoc,mimus,
bahnig1,nyctiprogne,
bahspi1,synallaxis,
bahswa,tachycineta,
bahtan1,tangara,
bahtap1,eleoscytalopus,
bahtre1,heliobletus,
bahtyr1,phylloscartes,
bahwoo,nesophlox,
bahyel1,geothlypis,
baicra1,zapornia,
baifly1,myiodynastes,
baipig1,ducula,
baisan,calidris,
baispa,centronyx,
baitea,sibirionetta,
baitro1,trogon,
bakind1,vidua,
baleag,haliaeetus,
balibi1,geronticus,
balica1,dicrurus,
balmal2,malimbus,
balmyn1,leucopsar,
balori,icterus,
balowl,margarobyas,
balpar1,pyrilia,
balshe1,puffinus,
balspi1,neafrapus,
balswi1,aerodramus,
balwar1,curruca,
bamant1,cymbilaimus,
bamapa1,apalis,
bamwoo1,gecinulus,
banana,coereba,
banant1,cercomacra,
banant2,dichrozona,
banbar1,lybius,
banbro1,eurylaimus,
bancor1,phalacrocorax,
bancot1,cotinga,
bancro1,corvus,
banfru1,gymnoderus,
banhon1,cissomela,
banjuf1,cyornis,
bankes1,falco,
bankin1,lacedo,
banlap1,vanellus,
banmar1,neophedina,
banmyn1,acridotheres,
banmyz1,myzomela,
banpit2,hydrornis,
banpit3,hydrornis,
banpit4,hydrornis,
banpri1,prinia,
banpri3,prinia,
banqua1,philortyx,
banscw1,bradypterus,
bansti1,cladorhynchus,
bansun1,anthreptes,
bansun3,cyanomitra,
banswa,riparia,
bantur1,tauraco,
banumb1,cephalopterus,
banwar2,curruca,
banwea1,ploceus,
banwhi1,aphelocephala,
banwoo2,chrysophlegma,
banwre1,thryophilus,
barant1,thamnophilus,
barant2,chamaeza,
barbec1,pachyramphus,
barbro1,cymbirhynchus,
barbul1,loxigilla,
barbut1,turnix,
barcud1,macropygia,
bardov2,geopelia,
barfin1,poospiza,
barfly1,ficedula,
barfru1,pipreola,
bargol,bucephala,
bargoo,branta,
barhaw1,morphnarchus,
barhob1,pernis,
barhob2,pernis,
barhon2,gliciphila,
barlar1,calendulauda,
barlau1,ianthocincla,
barowl1,ninox,
barowl13,strix,
barowl28,tyto,
barowl5,tyto,
barowl7,tyto,
barown1,aegotheles,
barown2,aegotheles,
barpar1,bolborhynchus,
barpar2,alectoris,
barpet,hydrobates,
barpet1,pterodroma,
barpuf1,nystalus,
barrai1,gallirallus,
barswa,hirundo,
barswa1,hirundo,
barswi,chaetura,
bartin1,crypturellus,
bartin2,crypturellus,
bartyr1,phylloscartes,
barwaf1,poospiza,
barwaf2,poospiza,
barwar,setophaga,
barwar1,curruca,
barwar2,acrocephalus,
basdov1,geopelia,
baseag1,circaetus,
basowl,megascops,
baswar1,locustella,
batant1,hypocnemoides,
batant2,thamnophilus,
batant3,myrmotherula,
batapa2,apalis,
batapa3,apalis,
batapa4,apalis,
batapa5,apalis,
batbar1,threnetes,
batbel1,procnias,
batear1,ochetorhynchus,
batele1,terathopius,
batfal1,falco,
batfru1,pipreola,
batgod,limosa,
batgua1,penelope,
bathaw1,macheiramphus,
batlar1,ammomanes,
batman1,pipra,
batnig1,nyctiprogne,
batnig2,caprimulgus,
batoro1,cacicus,
batpaf1,terpsiphone,
batpig1,patagioenas,
batsee1,catamenia,
batsee2,sporophila,
batsun2,cinnyris,
batswi1,apus,
battre1,certhia,
battro1,apaloderma,
batwea1,ploceus,
batwhi1,pachycephala,
baugre1,phyllastrephus,
baugua1,penelope,
bauoro2,psarocolius,
bavcot1,doliornis,
bawant1,myrmochanes,
bawbec1,pachyramphus,
bawbul2,brachypodius,
bawcow3,agelaioides,
bawcow4,agelaioides,
baweye1,platysteira,
baweye2,zosterops,
bawfly1,bias,
bawfly2,cyanoptila,
bawhae1,spizaetus,
bawhor2,bycanistes,
bawkin1,todiramphus,
bawman1,spermestes,
bawman3,spermestes,
bawmoc1,melanotis,
bawmon1,symposiachrus,
bawmon3,heteroxolmis,
bawnig1,systellura,
bawnig3,systellura,
bawori1,icterus,
bawowl1,ciccaba,
bawpri1,prinia,
bawrai1,gallirallus,
bawsee1,sporophila,
bawswa1,pygochelidon,
bawtan1,conothraupis,
bawtri1,lalage,
bawtyr1,poecilotriccus,
bawwar,mniotilta,
bawwar1,calamonastes,
bawwea1,ploceus,
bayant1,grallaria,
baybro1,eurylaimus,
baycou1,centropus,
bayfly1,phainoptila,
baygro1,mycerobas,
baymac,ara,
baymar1,pseudoleistes,
baytan2,chrysothlypis,
baytan3,rauenia,
baywea1,ploceus,
baywoo1,blythipicus,
baywre1,cantorchilus,
bbbeat1,nyctyornis,
bbbeat2,merops,
bbbtan1,urothraupis,
bbbtyr1,knipolegus,
bbcdov1,macropygia,
bbctyr1,ochthoeca,
bbfdov1,ptilinopus,
bbfdov2,ptilinopus,
bbfgle1,syndactyla,
bbgsta1,notopholia,
bbifin1,incaspiza,
bbmtan1,dubusia,
bbmtou1,andigena,
bbnthr1,catharus,
bbopar1,paradisaea,
bbrwar1,acrocephalus,
bbsfin1,sporophila,
bbspet1,fregetta,
bbsrob1,cercotrichas,
bbttyr1,hemitriccus,
bbttyr2,hemitriccus,
bbwdov1,turtur,
bbwduc,dendrocygna,
bbwqua1,odontophorus,
bbwtyr1,fluvicola,
bcatan1,habia,
bcbeag1,geranoaetus,
bcbeat1,merops,
bcbfin1,atlapetes,
bcfdov1,ptilinopus,
bcfdov2,ptilinopus,
bcfgle1,philydor,
bchpar1,loriculus,
bcmtan1,cnemathraupis,
bcmtan2,anisognathus,
bcnher,nycticorax,
bcptan1,phaenicophilus,
