ioc_12_2,ebird2021_issf,comment
molothrus armenti,brocow2,molothrus aeneus armenti
geothlypis chiriquensis,masyel3,geothlypis semiflava chiriquensis
geothlypis auricularis,masyel4,geothlypis aequinoctialis auricularis/peruviana
geothlypis velata,masyel5,geothlypis aequinoctialis velata
setophaga aestiva,yelwar1,setophaga petechia [aestiva group]
setophaga auduboni,audwar,setophaga coronata auduboni
setophaga goldmani,yerwar2,setophaga coronata goldmani
myiothlypis roraimae,twbwar2,myiothlypis bivittata roraimae
myiothlypis chlorophrys,gobwar4,myiothlypis chrysogaster chlorophrys
basileuterus punctipectus,thswar2,basileuterus tristriatus [punctipectus group]
piranga lutea,heptan2,piranga flava [lutea group]
piranga hepatica,heptan1,piranga flava [hepatica group]
chlorothraupis frenata,cartan2,chlorothraupis carmioli frenata
amaurospiza aequatorialis,blusee4,amaurospiza concolor aequatorialis
ramphocelus icteronotus,flrtan3,ramphocelus flammigerus icteronotus
dacnis egregia,bkfdac1,dacnis lineata egregia/aequatorialis
silvicultrix spodionota,crocht3,
edolisoma remotum,cicada6,
muscicapa itombwensis,chafly4,
apalis flavocincta,yebapa2,apalis flavida flavocincta/viridiceps
pellorneum nigrocapitatum,bkcbab1,pellorneum capistratum [nigrocapitatum group]
merops viridissimus,grnbee1,merops orientalis [viridissimus group]
delichon lagopodum,comhom2,delichon urbicum lagopodum
sphenopsis piurae,bkehem1,sphenopsis melanotis piurae/macrophrys
ducula cuprea,mouimp1,ducula badia cuprea
ducula geelvinkiana,spiimp2,ducula myristicivora geelvinkiana
paramythia olivacea,creber3,paramythia montium olivacea/alpina
myiomela sumatrana,sunrob2,myiomela diana sumatrana
niltava oatesi,vivnil2,niltava vivida oatesi
hypsipetes catarmanensis,yelbul4,hypsipetes everetti catarmanensis
cinnyris hellmayri,shisun4,cinnyris habessinicus hellmayri/kinneari
myzomela erythrina,redmyz3,myzomela cruentata [erythrina group]
petroica polymorpha,pacrob3,petroica pusilla [polymorpha group]
ptilinopus speciosus,yebfrd1,ptilinopus solomonensis speciosus
trachyphonus usambiro,darbar3,trachyphonus darnaudii usambiro
charmosyna stellae,paplor3,charmosyna papou [stellae group]
oenanthe halophila,mouwhe6,oenanthe lugens halophila
streptopelia xanthocycla,eurcod2,streptopelia decaocto xanthocycla
zosterops oblitus,gytwhe3,zosterops rendovae rendovae/oblitus
platysmurus aterrimus,blkmag2,platysmurus leucopterus aterrimus
chrysocorythus mindanensis,mouser3,chrysocorythus estherae mindanensis
myiagra eichhorni,dulfly3,myiagra hebetior eichhorni
irena tweeddalii,asifab2,irena puella tweeddalii
pampa pampa,wetsab2,pampa curvipennis curvipennis
pampa pampa,wetsab3,pampa curvipennis pampa
rhipidura kordensis,norfan12,rhipidura rufiventris kordensis
chloropsis lazulina,orblea3,chloropsis hardwickii lazulina/melliana
pomatorhinus bornensis,chbscb2,pomatorhinus montanus bornensis/occidentalis
mixornis prillwitzi,gyctib3,mixornis flavicollis prillwitzi
ixos sumatranus,sunbul1,ixos virescens sumatranus
phylloscopus nesophilus,sulwar2,phylloscopus sarasinorum nesophilus
lalage leucoptera,bkbtri2,lalage atrovirens leucoptera
emberiza personata,bkfbun2,emberiza spodocephala personata
terpsiphone floris,blypaf3,terpsiphone affinis floris/sumbaensis
gracupica jalla,aspsta3,gracupica contra jalla
chrysocolaptes socialis,grefla4,chrysocolaptes guttacristatus socialis
merops cyanophrys,grnbee2,merops orientalis cyanophrys/najdanus
treron permagnus,whigrp1,treron formosae permagnus/medioximus
spermestes nigriceps,bawman3,spermestes bicolor nigriceps/woltersi
