bird_genera,bird_families,comment
taoniscus,tinamidae,
tapera,cuculidae,
taphrolesbia,trochilidae,
taphrospilus,trochilidae,
taraba,thamnophilidae,
tarphonomus,furnariidae,
tarsiger,muscicapidae,
tauraco,musophagidae,
tchagra,malaconotidae,
telacanthura,apodidae,
teledromas,rhinocryptidae,
telespiza,fringillidae,
telophorus,malaconotidae,
temnurus,corvidae,
tephrodornis,vangidae,
tephrophilus,thraupidae,
tephrozosterops,zosteropidae,
terathopius,accipitridae,
terenotriccus,oxyruncidae,
terenura,thamnophilidae,
teretistris,teretistridae,
terpsiphone,monarchidae,
territornis,meliphagidae,
tersina,thraupidae,
tesia,scotocercidae,
tetrao,phasianidae,
tetraogallus,phasianidae,
tetraophasis,phasianidae,
tetrastes,phasianidae,
tetrax,otididae,
thalassarche,diomedeidae,
thalasseus,laridae,
thalassoica,procellariidae,
thalassornis,anatidae,
thalurania,trochilidae,
thamnistes,thamnophilidae,
thamnolaea,muscicapidae,
thamnomanes,thamnophilidae,
thamnophilus,thamnophilidae,
thamnornis,bernieridae,
thaumasius,trochilidae,
thaumastura,trochilidae,
thectocercus,psittacidae,
theristicus,threskiornithidae,
thescelocichla,pycnonotidae,
thinocorus,thinocoridae,
thinornis,charadriidae,
thlypopsis,thraupidae,
thraupis,thraupidae,
threnetes,trochilidae,
threskiornis,threskiornithidae,
thripadectes,furnariidae,
thripophaga,furnariidae,
thryomanes,troglodytidae,
thryophilus,troglodytidae,
thryorchilus,troglodytidae,
thryothorus,troglodytidae,
tiaris,thraupidae,
tichodroma,tichodromidae,
tickellia,scotocercidae,
tigriornis,ardeidae,
tigrisoma,ardeidae,
tilmatura,trochilidae,
timalia,timaliidae,
timeliopsis,meliphagidae,
tinamotis,tinamidae,
tinamus,tinamidae,
tityra,tityridae,
tmetothylacus,motacillidae,
tockus,bucerotidae,
todiramphus,alcedinidae,
todirostrum,tyrannidae,
todus,todidae,
tolmomyias,tyrannidae,
topaza,trochilidae,
torgos,accipitridae,
torreornis,passerellidae,
touit,psittacidae,
toxorhamphus,melanocharitidae,
toxostoma,mimidae,
trachyphonus,lybiidae,
tragopan,phasianidae,
traversia,acanthisittidae,
tregellasia,petroicidae,
treron,columbidae,
tribonyx,rallidae,
trichodere,meliphagidae,
trichoglossus,psittaculidae,
tricholaema,lybiidae,
tricholestes,pycnonotidae,
trichothraupis,thraupidae,
triclaria,psittacidae,
trigonoceps,accipitridae,
tringa,scolopacidae,
trochalopteron,leiothrichidae,
trochilus,trochilidae,
trochocercus,monarchidae,
troglodytes,troglodytidae,
trogon,trogonidae,
tropicoperdix,phasianidae,
trugon,columbidae,
tumbezia,tyrannidae,
tunchiornis,vireonidae,
turacoena,columbidae,
turdinus,pellorneidae,
turdoides,leiothrichidae,
turdus,turdidae,
turnagra,oriolidae,
turnix,turnicidae,
turtur,columbidae,
tylas,vangidae,
tympanuchus,phasianidae,
tyranneutes,pipridae,
tyrannopsis,tyrannidae,
tyrannulus,tyrannidae,
tyrannus,tyrannidae,
tyto,tytonidae,
upucerthia,furnariidae,
upupa,upupidae,
uraeginthus,estrildidae,
uranomitra,trochilidae,
uratelornis,brachypteraciidae,
uria,alcidae,
urile,phalacrocoracidae,
urochroa,trochilidae,
urocissa,corvidae,
urocolius,coliidae,
urocynchramus,urocynchramidae,
urodynamis,cuculidae,
uroglaux,strigidae,
urolais,cisticolidae,
uromyias,tyrannidae,
uropelia,columbidae,
uropsalis,caprimulgidae,
uropsila,troglodytidae,
urosphena,scotocercidae,
urosticte,trochilidae,
urothraupis,thraupidae,
urotriorchis,accipitridae,
vanellus,charadriidae,
vanga,vangidae,
vauriella,muscicapidae,
vermivora,parulidae,
verreauxia,picidae,
vidua,viduidae,
vini,psittaculidae,
vireo,vireonidae,
vireolanius,vireonidae,
viridonia,fringillidae,
volatinia,thraupidae,
vosea,meliphagidae,
vultur,cathartidae,
wetmorethraupis,thraupidae,
willisornis,thamnophilidae,
xanthocephalus,icteridae,
xanthomixis,bernieridae,
xanthopsar,icteridae,
xanthotis,meliphagidae,
xema,laridae,
xenerpestes,furnariidae,
xenicus,acanthisittidae,
xenocopsychus,muscicapidae,
xenodacnis,thraupidae,
xenoglaux,strigidae,
xenoligea,phaenicophilidae,
xenoperdix,phasianidae,
xenopipo,pipridae,
xenopirostris,vangidae,
xenops,furnariidae,
xenopsaris,tityridae,
xenornis,thamnophilidae,
xenospingus,thraupidae,
xenospiza,passerellidae,
xenotriccus,tyrannidae,
xenus,scolopacidae,
xiphidiopicus,picidae,
xiphocolaptes,furnariidae,
xipholena,cotingidae,
xiphorhynchus,furnariidae,
xolmis,tyrannidae,
yuhina,zosteropidae,
yungipicus,picidae,
zanclostomus,cuculidae,
zapornia,rallidae,
zaratornis,cotingidae,
zavattariornis,corvidae,
zebrilus,ardeidae,
zeledonia,zeledoniidae,
zenaida,columbidae,
zentrygon,columbidae,
zimmerius,tyrannidae,
zonerodius,ardeidae,
zonotrichia,passerellidae,
zoonavena,apodidae,
zoothera,turdidae,
zosterops,zosteropidae,
zosterornis,zosteropidae,
