bird_genera,bird_families,comment
dryobates,picidae,
dryocopus,picidae,
dryolimnas,rallidae,
dryoscopus,malaconotidae,
dryotriorchis,accipitridae,
dubusia,thraupidae,
ducula,columbidae,
dulus,dulidae,
dumetella,mimidae,
dumetia,timaliidae,
dysithamnus,thamnophilidae,
dysmorodrepanis,fringillidae,
eclectus,psittaculidae,
ectopistes,columbidae,
edolisoma,campephagidae,
egretta,ardeidae,
elachura,elachuridae,
elaenia,tyrannidae,
elanoides,accipitridae,
elanus,accipitridae,
elaphrornis,locustellidae,
electron,momotidae,
eleoscytalopus,rhinocryptidae,
eleothreptus,caprimulgidae,
elliotomyia,trochilidae,
elminia,stenostiridae,
elseyornis,charadriidae,
emarginata,muscicapidae,
emberiza,emberizidae,
emberizoides,thraupidae,
embernagra,thraupidae,
emblema,estrildidae,
eminia,cisticolidae,
empidonax,tyrannidae,
empidonomus,tyrannidae,
enicognathus,psittacidae,
enicurus,muscicapidae,
enodes,sturnidae,
ensifera,trochilidae,
entomodestes,turdidae,
entomyzon,meliphagidae,
eolophus,cacatuidae,
eophona,fringillidae,
eopsaltria,petroicidae,
eos,psittaculidae,
ephippiorhynchus,ciconiidae,
epimachus,paradisaeidae,
epinecrophylla,thamnophilidae,
epthianura,meliphagidae,
eremalauda,alaudidae,
eremomela,cisticolidae,
eremophila,alaudidae,
eremopterix,alaudidae,
eriocnemis,trochilidae,
erithacus,muscicapidae,
erpornis,vireonidae,
erythrocercus,scotocercidae,
erythrogenys,timaliidae,
erythrogonys,charadriidae,
erythromachus,rallidae,
erythropitta,pittidae,
erythrotriorchis,accipitridae,
erythrura,estrildidae,
esacus,burhinidae,
estrilda,estrildidae,
eubucco,capitonidae,
euchrepomis,thamnophilidae,
eucometis,thraupidae,
eudocimus,threskiornithidae,
eudromia,tinamidae,
eudynamys,cuculidae,
eudyptes,spheniscidae,
eudyptula,spheniscidae,
eugenes,trochilidae,
eugerygone,petroicidae,
eugralla,rhinocryptidae,
eulacestoma,eulacestomatidae,
eulampis,trochilidae,
eulidia,trochilidae,
eulipoa,megapodiidae,
eumomota,momotidae,
eumyias,muscicapidae,
euneornis,thraupidae,
eunymphicus,psittaculidae,
euodice,estrildidae,
eupetes,eupetidae,
eupetomena,trochilidae,
euphagus,icteridae,
eupherusa,trochilidae,
euphonia,fringillidae,
euplectes,ploceidae,
eupodotis,otididae,
eupsittula,psittacidae,
euptilotis,trogonidae,
eurillas,pycnonotidae,
eurocephalus,laniidae,
eurostopodus,caprimulgidae,
euryceros,vangidae,
eurylaimus,eurylaimidae,
euryptila,cisticolidae,
eurypyga,eurypygidae,
eurystomus,coraciidae,
euscarthmus,tyrannidae,
euschistospiza,estrildidae,
eutoxeres,trochilidae,
eutrichomyias,rhipiduridae,
eutriorchis,accipitridae,
falcipennis,phasianidae,
falco,falconidae,
falculea,vangidae,
falcunculus,falcunculidae,
