xenocanto_11_2,ebird2022_species,comment
garrulax rufifrons,ruflau1,Exact match
garrulax palliatus,sunlau1,Exact match
garrulax leucolophus,whclau2,Exact match
garrulax bicolor,sumlau1,Exact match
garrulax milleti,blhlau1,Exact match
garrulax strepitans,whnlau1,Exact match
garrulax ferrarius,camlau1,Exact match
garrulax castanotis,ruclau3,Exact match
ianthocincla sukatschewi,suklau1,Exact match
ianthocincla rufogularis,ruclau1,Exact match
ianthocincla konkakinhensis,chelau1,Exact match
ianthocincla cineracea,moulau1,Exact match
ianthocincla ocellata,spolau1,Exact match
ianthocincla maxima,gialau1,Exact match
ianthocincla lunulata,barlau1,Exact match
pterorhinus delesserti,wynlau1,Exact match
pterorhinus gularis,ruvlau1,Exact match
pterorhinus vassali,whclau1,Exact match
pterorhinus galbanus,yetlau1,Exact match
pterorhinus courtoisi,buclau1,Exact match
pterorhinus mitratus,chclau3,Exact match
pterorhinus treacheri,chhlau1,Exact match
pterorhinus ruficollis,runlau1,Exact match
pterorhinus nuchalis,chblau1,Exact match
pterorhinus chinensis,bltlau1,Exact match
pterorhinus sannio,whblau1,Exact match
pterorhinus perspicillatus,maslau1,Exact match
pterorhinus pectoralis,gnlthr,Exact match
pterorhinus woodi,chibub1,Exact match
pterorhinus lanceolatus,chibab2,Exact match
pterorhinus waddelli,giabab1,Exact match
pterorhinus koslowi,tibbab1,Exact match
pterorhinus albogularis,whtlau1,Exact match
pterorhinus ruficeps,ruclau2,Exact match
pterorhinus berthemyi,buflau1,Exact match
pterorhinus poecilorhynchus,ruslau1,Exact match
modulatrix stictigula,spothr1,Exact match
arcanator orostruthus,dapthr1,Exact match
promerops cafer,capsug1,Exact match
promerops gurneyi,gursug1,Exact match
irena cyanogastra,phifab1,Exact match
corthylio calendula,ruckin,Exact match
regulus ignicapilla,firecr1,Exact match
regulus madeirensis,firecr3,Exact match
regulus satrapa,gockin,Exact match
regulus goodfellowi,flamec1,Exact match
regulus regulus,goldcr1,Exact match
elachura formosa,spwbab1,Exact match
hyliota flavigaster,yebhyl1,Exact match
hyliota australis,souhyl1,Exact match
hyliota usambara,usahyl1,Exact match
hyliota violacea,vibhyl1,Exact match
campylorhynchus albobrunneus,whhwre1,Exact match
campylorhynchus zonatus,babwre1,Exact match
campylorhynchus nuchalis,stbwre2,Exact match
campylorhynchus fasciatus,faswre1,Exact match
campylorhynchus chiapensis,giawre1,Exact match
campylorhynchus griseus,bicwre1,Exact match
campylorhynchus gularis,spowre1,Exact match
campylorhynchus jocosus,bouwre1,Exact match
campylorhynchus yucatanicus,yucwre1,Exact match
campylorhynchus brunneicapillus,cacwre,Exact match
campylorhynchus turdinus,thlwre1,Exact match
odontorchilus cinereus,tobwre1,Exact match
salpinctes obsoletus,rocwre,Exact match
catherpes mexicanus,canwre,Exact match
hylorchilus sumichrasti,sumwre1,Exact match
hylorchilus navai,navwre1,Exact match
cinnycerthia unirufa,rufwre1,Exact match
cinnycerthia peruana,perwre1,Exact match
cinnycerthia fulva,fulwre1,Exact match
cistothorus stellaris,sedwre1,Exact match
cistothorus meridae,merwre1,Exact match
cistothorus apolinari,apowre1,Exact match
cistothorus platensis,sedwre,Exact match
cistothorus palustris,marwre,Exact match
thryomanes bewickii,bewwre,Exact match
ferminia cerverai,zapwre1,Exact match
pheugopedius atrogularis,bltwre1,Exact match
pheugopedius spadix,sohwre1,Exact match
pheugopedius fasciatoventris,blbwre1,Exact match
pheugopedius euophrys,pltwre1,Exact match
pheugopedius eisenmanni,incwre1,Exact match
pheugopedius genibarbis,mouwre2,Exact match
pheugopedius mystacalis,whiwre1,Exact match
pheugopedius coraya,corwre1,Exact match
pheugopedius felix,hapwre1,Exact match
pheugopedius maculipectus,spbwre1,Exact match
pheugopedius rutilus,rubwre1,Exact match
pheugopedius sclateri,spbwre2,Exact match
thryophilus pleurostictus,banwre1,Exact match
thryophilus rufalbus,rawwre1,Exact match
thryophilus sernai,antwre2,Exact match
thryophilus nicefori,nicwre1,Exact match
thryophilus sinaloa,sinwre1,Exact match
cantorchilus modestus,plawre1,Exact match
cantorchilus zeledoni,plawre3,Exact match
cantorchilus elutus,istwre1,Exact match
cantorchilus leucotis,bubwre1,Exact match
cantorchilus superciliaris,supwre1,Exact match
cantorchilus guarayanus,fabwre1,Exact match
cantorchilus longirostris,lobwre1,Exact match
cantorchilus semibadius,rivwre1,Exact match
cantorchilus nigricapillus,baywre1,Exact match
cantorchilus thoracicus,stbwre1,Exact match
cantorchilus leucopogon,sttwre1,Exact match
thryothorus ludovicianus,carwre,Exact match
troglodytes troglodytes,winwre4,Exact match
troglodytes hiemalis,winwre3,Exact match
troglodytes pacificus,pacwre1,Exact match
troglodytes tanneri,clawre1,Exact match
troglodytes aedon,houwre,Exact match
troglodytes cobbi,houwre5,Exact match
troglodytes sissonii,socwre2,Exact match
troglodytes rufociliatus,rubwre2,Exact match
troglodytes ochraceus,ochwre1,Exact match
troglodytes solstitialis,mouwre1,Exact match
troglodytes monticola,samwre1,Exact match
troglodytes rufulus,tepwre1,Exact match
thryorchilus browni,timwre1,Exact match
uropsila leucogastra,whbwre1,Exact match
microcerculus ustulatus,fluwre1,Exact match
microcerculus bambla,wibwre1,Exact match
cyphorhinus thoracicus,chbwre1,Exact match
cyphorhinus arada,muswre2,Exact match
cyphorhinus phaeocephalus,sonwre1,Exact match
ramphocaenus sticturus,lobgna4,Exact match
microbates cinereiventris,tafgna1,Exact match
microbates collaris,colgna1,Exact match
polioptila facilis,guigna2,Exact match
polioptila guianensis,guigna3,Exact match
polioptila schistaceigula,sltgna1,Exact match
polioptila clementsi,iqugna1,Exact match
polioptila attenboroughi,inagna1,Exact match
polioptila plumbea,trogna1,Exact match
polioptila lactea,crbgna1,Exact match
polioptila dumicola,masgna1,Exact match
polioptila lembeyei,cubgna1,Exact match
polioptila albiventris,whlgna3,Exact match
polioptila bilineata,trogna2,Exact match
polioptila melanura,bktgna,Exact match
polioptila californica,calgna,Exact match
polioptila nigriceps,bkcgna,Exact match
polioptila albiloris,whlgna2,Exact match
sitta leucopsis,whcnut1,Exact match
sitta przewalskii,prznut1,Exact match
sitta magna,gianut1,Exact match
sitta carolinensis,whbnut,Exact match
sitta formosa,beanut1,Exact match
sitta azurea,blunut1,Exact match
sitta frontalis,vefnut1,Exact match
sitta solangiae,yebnut1,Exact match
sitta oenochlamys,subnut1,Exact match
sitta pygmaea,pygnut,Exact match
sitta pusilla,bnhnut,Exact match
sitta insularis,bnhnut2,Exact match
sitta yunnanensis,yunnut1,Exact match
sitta ledanti,algnut1,Exact match
sitta krueperi,krunut1,Exact match
sitta canadensis,rebnut,Exact match
sitta whiteheadi,cornut1,Exact match
sitta neumayer,rocnut1,Exact match
sitta tephronota,pernut1,Exact match
sitta victoriae,whbnut1,Exact match
sitta himalayensis,whtnut1,Exact match
sitta nagaensis,chvnut1,Exact match
sitta cashmirensis,kasnut1,Exact match
sitta castanea,chbnut2,Exact match
sitta cinnamoventris,chbnut3,Exact match
sitta neglecta,chbnut4,Exact match
tichodroma muraria,wallcr1,Exact match
certhia familiaris,eurtre1,Exact match
certhia hodgsoni,eurtre3,Exact match
certhia americana,brncre,Exact match
certhia brachydactyla,shttre1,Exact match
certhia himalayana,battre1,Exact match
certhia nipalensis,ruftre4,Exact match
certhia discolor,bnttre1,Exact match
certhia manipurensis,bnttre2,Exact match
certhia tianquanensis,sictre1,Exact match
salpornis spilonota,spocre3,Exact match
salpornis salvadori,spocre2,Exact match
melanoptila glabrirostris,blacat1,Exact match
mimus polyglottos,normoc,Exact match
mimus gilvus,tromoc,Exact match
mimus gundlachii,bahmoc,Exact match
mimus thenca,chimoc1,Exact match
mimus longicaudatus,lotmoc1,Exact match
mimus saturninus,chbmoc1,Exact match
mimus patagonicus,patmoc1,Exact match
mimus triurus,whbmoc1,Exact match
mimus dorsalis,brbmoc1,Exact match
mimus parvulus,galmoc1,Exact match
mimus trifasciatus,chamoc1,Exact match
mimus melanotis,chamoc2,Exact match
mimus graysoni,socmoc1,Exact match
oreoscoptes montanus,sagthr,Exact match
toxostoma rufum,brnthr,Exact match
toxostoma longirostre,lobthr,Exact match
toxostoma guttatum,cozthr1,Exact match
toxostoma bendirei,benthr,Exact match
toxostoma ocellatum,ocethr1,Exact match
toxostoma curvirostre,cubthr,Exact match
toxostoma redivivum,calthr,Exact match
toxostoma crissale,crithr,Exact match
toxostoma lecontei,lecthr,Exact match
ramphocinclus brachyurus,whbthr1,Exact match
melanotis caerulescens,blumoc,Exact match
melanotis hypoleucus,bawmoc1,Exact match
allenia fusca,scbthr,Exact match
margarops fuscatus,peethr1,Exact match
cinclocerthia ruficauda,brotre1,Exact match
aplonis mystacea,yeesta1,Exact match
aplonis cantoroides,sinsta1,Exact match
aplonis crassa,tansta1,Exact match
aplonis feadensis,atosta1,Exact match
aplonis insularis,rensta1,Exact match
aplonis magna,lotsta1,Exact match
aplonis brunneicapillus,whesta2,Exact match
aplonis grandis,brwsta1,Exact match
aplonis dichroa,sacsta1,Exact match
aplonis zelandica,ruwsta1,Exact match
aplonis striata,strsta1,Exact match
aplonis santovestris,mousta1,Exact match
aplonis panayensis,asgsta1,Exact match
aplonis mysolensis,molsta1,Exact match
aplonis minor,shtsta1,Exact match
aplonis opaca,micsta1,Exact match
aplonis pelzelni,pohsta1,Exact match
aplonis tabuensis,polsta1,Exact match
aplonis atrifusca,samsta1,Exact match
aplonis corvina,kossta1,Exact match
aplonis cinerascens,rarsta1,Exact match
mino dumontii,yefmyn1,Exact match
mino kreffti,lotmyn1,Exact match
mino anais,golmyn1,Exact match
basilornis celebensis,sulmyn1,Exact match
basilornis galeatus,helmyn1,Exact match
basilornis corythaix,locmyn1,Exact match
goodfellowia miranda,apomyn2,Exact match
sarcops calvus,coleto1,Exact match
streptocitta albicollis,whnmyn1,Exact match
streptocitta albertinae,baemyn1,Exact match
saroglossa spilopterus,spwsta1,Exact match
ampeliceps coronatus,gocmyn1,Exact match
gracula indica,sohmyn1,Exact match
acridotheres grandis,whvmyn1,Exact match
acridotheres cristatellus,cremyn,Exact match
acridotheres javanicus,whvmyn,Exact match
acridotheres cinereus,pabmyn1,Exact match
acridotheres fuscus,junmyn1,Exact match
acridotheres albocinctus,colmyn1,Exact match
acridotheres ginginianus,banmyn1,Exact match
acridotheres tristis,commyn,Exact match
spodiopsar sericeus,rebsta1,Exact match
spodiopsar cineraceus,whcsta1,Exact match
gracupica nigricollis,bkcsta1,Exact match
agropsar sturninus,dausta1,Exact match
agropsar philippensis,chcsta1,Exact match
sturnia sinensis,whssta2,Exact match
sturnia malabarica,chtsta2,Exact match
sturnia erythropygia,whhsta2,Exact match
sturnia blythii,malsta1,Exact match
sturnia pagodarum,brasta1,Exact match
sturnornis albofrontatus,whfsta2,Exact match
leucopsar rothschildi,balmyn1,Exact match
necropsar rodericanus,rodsta2,Exact match
pastor roseus,rossta2,Exact match
sturnus unicolor,sposta1,Exact match
creatophora cinerea,watsta1,Exact match
notopholia corusca,bbgsta1,Exact match
hylopsar purpureiceps,phgsta1,Exact match
hylopsar cupreocauda,ctgsta1,Exact match
lamprotornis nitens,capgls1,Exact match
lamprotornis chalybaeus,gbesta1,Exact match
lamprotornis chalcurus,btgsta1,Exact match
lamprotornis splendidus,spgsta1,Exact match
lamprotornis ornatus,prgsta1,Exact match
lamprotornis iris,emesta1,Exact match
lamprotornis purpureus,pugsta1,Exact match
lamprotornis purpuroptera,ruegls1,Exact match
lamprotornis caudatus,ltgsta1,Exact match
lamprotornis regius,gobsta5,Exact match
lamprotornis mevesii,megsta1,Exact match
lamprotornis australis,bugsta1,Exact match
lamprotornis acuticaudus,stgsta1,Exact match
lamprotornis superbus,supsta1,Exact match
lamprotornis hildebrandti,hilsta1,Exact match
lamprotornis shelleyi,shesta1,Exact match
lamprotornis pulcher,chbsta1,Exact match
lamprotornis unicolor,ashsta2,Exact match
lamprotornis fischeri,fissta1,Exact match
lamprotornis albicapillus,whcsta3,Exact match
hartlaubius auratus,madsta1,Exact match
cinnyricinclus leucogaster,vibsta2,Exact match
onychognathus morio,rewsta1,Exact match
onychognathus tenuirostris,slbsta1,Exact match
onychognathus fulgidus,chwsta1,Exact match
onychognathus walleri,walsta1,Exact match
onychognathus blythii,somsta1,Exact match
onychognathus frater,socsta1,Exact match
onychognathus tristramii,trista1,Exact match
onychognathus nabouroup,pawsta1,Exact match
onychognathus salvadorii,brcsta1,Exact match
onychognathus albirostris,whbsta1,Exact match
onychognathus neumanni,neusta1,Exact match
poeoptera stuhlmanni,stusta1,Exact match
poeoptera kenricki,kensta1,Exact match
poeoptera lugubris,natsta1,Exact match
grafisia torquata,whcsta2,Exact match
speculipastor bicolor,magsta1,Exact match
neocichla gutturalis,babsta1,Exact match
rhabdornis inornatus,stbrha1,Exact match
rhabdornis rabori,visrha1,Exact match
buphagus africanus,yeboxp1,Exact match
buphagus erythrorynchus,reboxp1,Exact match
grandala coelicolor,granda1,Exact match
sialia currucoides,moublu,Exact match
sialia mexicana,wesblu,Exact match
sialia sialis,easblu,Exact match
myadestes occidentalis,brbsol1,Exact match
myadestes unicolor,slcsol1,Exact match
myadestes townsendi,towsol,Exact match
myadestes myadestinus,kamao,Exact match
myadestes palmeri,puaioh,Exact match
myadestes obscurus,omao,Exact match
myadestes elisabeth,cubsol1,Exact match
myadestes genibarbis,rutsol1,Exact match
myadestes melanops,blfsol1,Exact match
myadestes coloratus,varsol1,Exact match
myadestes ralloides,andsol1,Exact match
cataponera turdoides,sulthr1,Exact match
cochoa purpurea,purcoc1,Exact match
cochoa viridis,grecoc1,Exact match
cochoa beccarii,sumcoc1,Exact match
cochoa azurea,javcoc1,Exact match
ixoreus naevius,varthr,Exact match
ridgwayia pinicola,aztthr,Exact match
cichlopsis leucogenys,rubsol1,Exact match
entomodestes coracinus,blasol1,Exact match
entomodestes leucotis,whesol1,Exact match
hylocichla mustelina,woothr,Exact match
catharus dryas,spnthr1,Exact match
catharus maculatus,sponit2,Exact match
catharus aurantiirostris,obnthr1,Exact match
catharus mexicanus,bhnthr1,Exact match
catharus fuscater,sbnthr1,Exact match
catharus ustulatus,swathr,Exact match
catharus gracilirostris,bbnthr1,Exact match
catharus guttatus,herthr,Exact match
catharus occidentalis,runthr1,Exact match
catharus frantzii,rcnthr1,Exact match
catharus bicknelli,bicthr,Exact match
catharus fuscescens,veery,Exact match
zoothera dixoni,lotthr1,Exact match
zoothera mollissima,alpthr1,Exact match
zoothera salimalii,himthr1,Exact match
zoothera griseiceps,sicthr1,Exact match
zoothera monticola,lobthr1,Exact match
zoothera heinrichi,geomal1,Exact match
zoothera marginata,dasthr1,Exact match
zoothera everetti,evethr1,Exact match
zoothera andromedae,sunthr1,Exact match
zoothera aurea,scathr2,Exact match
zoothera dauma,scathr8,Exact match
zoothera neilgherriensis,scathr4,Exact match
zoothera imbricata,scathr5,Exact match
zoothera major,scathr6,Exact match
zoothera terrestris,bonthr2,Exact match
zoothera turipavae,sacthr3,Exact match
zoothera margaretae,sacthr2,Exact match
zoothera heinei,rutthr1,Exact match
zoothera machiki,fabthr1,Exact match
zoothera lunulata,oltthr1,Exact match
geokichla sibirica,sibthr1,Exact match
geokichla wardii,piethr1,Exact match
geokichla spiloptera,spwthr1,Exact match
geokichla citrina,orhthr1,Exact match
geokichla dumasi,burthr1,Exact match
geokichla joiceyi,serthr2,Exact match
geokichla schistacea,slbthr1,Exact match
geokichla interpres,chcthr1,Exact match
geokichla leucolaema,engthr1,Exact match
geokichla dohertyi,chbthr1,Exact match
geokichla cinerea,ashthr1,Exact match
geokichla mendeni,rabthr1,Exact match
turdus mupinensis,chithr2,Exact match
turdus philomelos,sonthr1,Exact match
turdus viscivorus,misthr1,Exact match
turdus pelios,afrthr1,Exact match
turdus xanthorhynchus,prithr1,Exact match
turdus olivaceofuscus,satthr1,Exact match
turdus abyssinicus,abythr1,Exact match
turdus helleri,taithr1,Exact match
turdus roehli,usathr1,Exact match
turdus olivaceus,olithr2,Exact match
turdus libonyana,kurthr1,Exact match
turdus smithi,karthr1,Exact match
turdus ludoviciae,somthr1,Exact match
turdus mandarinus,chibla1,Exact match
turdus iliacus,redwin,Exact match
turdus menachensis,yemthr1,Exact match
turdus niveiceps,islthr24,Exact match
turdus simillimus,eurbla2,Exact match
turdus unicolor,ticthr1,Exact match
turdus dissimilis,blbthr2,Exact match
turdus cardis,japthr1,Exact match
turdus obscurus,eyethr,Exact match
turdus pallidus,palthr1,Exact match
turdus chrysolaus,brhthr1,Exact match
turdus celaenops,izuthr1,Exact match
turdus poliocephalus,islthr1,Exact match
turdus maximus,tibbla1,Exact match
turdus pilaris,fieldf,Exact match
turdus torquatus,rinouz1,Exact match
turdus atrogularis,datthr1,Exact match
turdus ruficollis,retthr1,Exact match
turdus eunomus,dusthr2,Exact match
turdus naumanni,dusthr1,Exact match
turdus rubrocanus,chethr1,Exact match
turdus albocinctus,whcbla1,Exact match
turdus migratorius,amerob,Exact match
turdus infuscatus,blarob1,Exact match
turdus nigrescens,soorob1,Exact match
turdus plumbeus,relthr1,Exact match
turdus ravidus,grcthr1,Exact match
turdus aurantius,whcthr1,Exact match
turdus lherminieri,forthr1,Exact match
turdus plebejus,mourob1,Exact match
turdus leucops,paethr1,Exact match
turdus jamaicensis,whethr1,Exact match
turdus swalesi,lasthr1,Exact match
turdus fulviventris,chbthr2,Exact match
turdus reevei,plbthr2,Exact match
turdus chiguanco,chithr1,Exact match
turdus nigriceps,slathr2,Exact match
turdus serranus,glbthr1,Exact match
turdus olivater,blhthr1,Exact match
turdus fuscater,grethr1,Exact match
turdus falcklandii,austhr1,Exact match
turdus lawrencii,lawthr1,Exact match
turdus murinus,bkbthr4,Exact match
turdus subalaris,slathr3,Exact match
turdus amaurochalinus,crbthr1,Exact match
turdus eremita,trithr1,Exact match
turdus ignobilis,blbthr1,Exact match
turdus arthuri,bkbthr3,Exact match
turdus flavipes,yelthr1,Exact match
turdus albicollis,whnrob1,Exact match
turdus obsoletus,pavthr1,Exact match
turdus leucomelas,pabthr1,Exact match
turdus fumigatus,cocthr1,Exact match
turdus hauxwelli,hauthr1,Exact match
turdus rufiventris,rubthr1,Exact match
turdus grayi,clcrob,Exact match
turdus nudigenis,baerob1,Exact match
turdus maculirostris,ecuthr1,Exact match
turdus sanchezorum,hauthr3,Exact match
turdus haplochrous,unithr1,Exact match
alethe diademata,ficale3,Exact match
alethe castanea,ficale2,Exact match
copsychus fulicatus,indrob1,Exact match
copsychus saularis,magrob,Exact match
copsychus pyrropygus,rutsha2,Exact match
copsychus albospecularis,mamrob1,Exact match
copsychus sechellarum,semrob1,Exact match
copsychus mindanensis,phimar1,Exact match
copsychus malabaricus,whrsha,Exact match
copsychus albiventris,andsha1,Exact match
copsychus stricklandii,whrsha2,Exact match
copsychus luzoniensis,whbsha1,Exact match
copsychus superciliaris,vissha1,Exact match
copsychus niger,whvsha1,Exact match
copsychus cebuensis,blasha1,Exact match
melaenornis annamarulae,nimfly1,Exact match
melaenornis silens,fisfly1,Exact match
muscicapa gambagae,gamfly1,Exact match
muscicapa sibirica,dasfly,Exact match
muscicapa dauurica,asbfly,Exact match
muscicapa williamsoni,bnsfly1,Exact match
muscicapa randi,asbfly1,Exact match
muscicapa segregata,subfly2,Exact match
muscicapa muttui,brbfly2,Exact match
muscicapa ferruginea,ferfly1,Exact match
muscicapa aquatica,swafly3,Exact match
muscicapa cassini,casfly1,Exact match
muscicapa adusta,afdfly1,Exact match
muscicapa sethsmithi,yeffly1,Exact match
anthipes monileger,whgfly1,Exact match
anthipes solitaris,rubfly3,Exact match
cyornis hainanus,habfly1,Exact match
cyornis unicolor,pabfly2,Exact match
cyornis ruckii,rubfly1,Exact match
cyornis pallidipes,wbbfly1,Exact match
cyornis poliogenys,pacblf1,Exact match
cyornis whitei,hibfly1,Exact match
cyornis banyumas,hibfly3,Exact match
cyornis montanus,hibfly4,Exact match
cyornis magnirostris,larblf1,Exact match
cyornis lemprieri,pabfly1,Exact match
cyornis tickelliae,tibfly3,Exact match
cyornis sumatrensis,tibfly4,Exact match
cyornis caerulatus,lobblf1,Exact match
cyornis superbus,bobfly2,Exact match
cyornis glaucicomans,butfly2,Exact match
cyornis turcosus,mabfly1,Exact match
cyornis concretus,whtfly2,Exact match
cyornis brunneatus,bncjuf1,Exact match
cyornis nicobaricus,nicjuf1,Exact match
cyornis olivaceus,fucjuf1,Exact match
cyornis colonus,suljuf1,Exact match
cyornis pelingensis,banjuf1,Exact match
niltava davidi,fujnil1,Exact match
niltava sundara,rubnil1,Exact match
niltava sumatrana,ruvnil1,Exact match
niltava oatesi,vivnil2,Exact match
niltava vivida,vivnil3,Exact match
niltava grandis,larnil1,Exact match
niltava macgrigoriae,smanil1,Exact match
cyanoptila cyanomelana,bawfly2,Exact match
cyanoptila cumatilis,zapfly1,Exact match
eumyias sordidus,dubfly3,Exact match
eumyias thalassinus,verfly4,Exact match
eumyias panayensis,islfly1,Exact match
eumyias albicaudatus,nilfly2,Exact match
eumyias indigo,indfly1,Exact match
eumyias additus,burjuf1,Exact match
erithacus rubecula,eurrob1,Exact match
chamaetylas poliophrys,retale1,Exact match
chamaetylas poliocephala,brcale1,Exact match
chamaetylas fuelleborni,whcale1,Exact match
cossyphicula roberti,wbrcha1,Exact match
cossypha isabellae,morcha1,Exact match
cossypha caffra,carcha1,Exact match
cossypha humeralis,wtrcha1,Exact match
cossypha cyanocampter,bsrcha1,Exact match
cossypha semirufa,rurcha1,Exact match
cossypha heuglini,wbrcha2,Exact match
cossypha natalensis,rcrcha1,Exact match
cossypha dichroa,chrcha1,Exact match
cossypha heinrichi,whrcha1,Exact match
cossypha niveicapilla,scrcha1,Exact match
cossypha albicapillus,wcrcha1,Exact match
swynnertonia swynnertoni,swyrob1,Exact match
pogonocichla stellata,whsrob1,Exact match
sheppardia poensis,shtaka2,Exact match
sheppardia bocagei,bocaka11,Exact match
sheppardia cyornithopsis,lowaka1,Exact match
sheppardia aequatorialis,equaka1,Exact match
sheppardia sharpei,shaaka1,Exact match
sheppardia gunningi,eacaka1,Exact match
sheppardia gabela,gabaka1,Exact match
sheppardia aurantiithorax,rubaka1,Exact match
sheppardia montana,usaaka1,Exact match
sheppardia lowei,iriaka1,Exact match
heinrichia calligyna,gresho1,Exact match
heteroxenicus stellatus,gousho1,Exact match
brachypteryx hyperythra,rubsho1,Exact match
brachypteryx leucophris,lessho1,Exact match
brachypteryx cruralis,whbsho4,Exact match
brachypteryx sinensis,whbsho5,Exact match
brachypteryx goodfellowi,whbsho6,Exact match
vauriella gularis,eyjfly1,Exact match
larvivora brunnea,inbrob1,Exact match
larvivora cyane,sibrob,Exact match
larvivora sibilans,rutrob1,Exact match
larvivora ruficeps,ruhrob1,Exact match
larvivora komadori,ryurob2,Exact match
larvivora namiyei,ryurob3,Exact match
luscinia svecica,blueth,Exact match
luscinia phaenicuroides,whbred1,Exact match
luscinia luscinia,thrnig1,Exact match
luscinia megarhynchos,comnig1,Exact match
irania gutturalis,whtrob3,Exact match
calliope pectoralis,himrub1,Exact match
calliope tschebaiewi,chirub1,Exact match
calliope calliope,sibrub,Exact match
calliope pectardens,fireth1,Exact match
calliope obscura,btbrob1,Exact match
myiomela leucura,whtrob2,Exact match
tarsiger cyanurus,refblu,Exact match
tarsiger rufilatus,himblu1,Exact match
enicurus scouleri,litfor1,Exact match
enicurus velatus,sunfor1,Exact match
enicurus ruficapillus,chnfor1,Exact match
enicurus immaculatus,blbfor1,Exact match
enicurus schistaceus,slbfor1,Exact match
enicurus leschenaulti,whcfor1,Exact match
enicurus borneensis,whcfor3,Exact match
enicurus maculatus,spofor1,Exact match
cinclidium frontale,blfrob1,Exact match
ficedula zanthopygia,korfly1,Exact match
ficedula elisae,narfly1,Exact match
ficedula narcissina,narfly2,Exact match
ficedula owstoni,narfly3,Exact match
ficedula erithacus,slbfly1,Exact match
ficedula mugimaki,mugfly,Exact match
ficedula hodgsoni,pybfly1,Exact match
ficedula strophiata,rugfly1,Exact match
ficedula sapphira,sapfly1,Exact match
ficedula superciliaris,ultfly1,Exact match
ficedula westermanni,lipfly1,Exact match
ficedula tricolor,slbfly2,Exact match
ficedula hyperythra,snbfly1,Exact match
ficedula ruficauda,rutfly6,Exact match
ficedula albicilla,taifly1,Exact match
ficedula parva,rebfly,Exact match
ficedula subrubra,kasfly1,Exact match
ficedula semitorquata,semfly1,Exact match
ficedula hypoleuca,eupfly1,Exact match
ficedula albicollis,colfly1,Exact match
ficedula riedeli,rucfly3,Exact match
ficedula nigrorufa,barfly1,Exact match
ficedula dumetoria,rucfly1,Exact match
ficedula disposita,furfly1,Exact match
ficedula platenae,palfly1,Exact match
ficedula rufigula,rutfly5,Exact match
ficedula buruensis,cicfly1,Exact match
ficedula harterti,sumfly1,Exact match
ficedula timorensis,blbfly2,Exact match
ficedula basilanica,lisfly1,Exact match
ficedula crypta,rutfly7,Exact match
ficedula luzoniensis,bunfly1,Exact match
ficedula bonthaina,lomfly1,Exact match
ficedula henrici,damfly1,Exact match
phoenicurus coeruleocephala,bucred1,Exact match
phoenicurus ochruros,blared1,Exact match
phoenicurus phoenicurus,comred2,Exact match
phoenicurus hodgsoni,hodred1,Exact match
phoenicurus schisticeps,whtred1,Exact match
phoenicurus auroreus,daured1,Exact match
phoenicurus moussieri,moured1,Exact match
phoenicurus frontalis,blfred1,Exact match
phoenicurus leucocephalus,whcred1,Exact match
saxicola rubetra,whinch1,Exact match
saxicola rubicola,stonec4,Exact match
saxicola maurus,sibsto1,Exact match
saxicola tectes,reusto1,Exact match
saxicola leucurus,whtsto2,Exact match
campicoloides bifasciatus,busbus1,Exact match
emarginata sinuata,siccha1,Exact match
emarginata schlegelii,karcha1,Exact match
emarginata tractrac,tracha1,Exact match
pinarochroa sordida,moocha1,Exact match
myrmecocichla nigra,soocha1,Exact match
myrmecocichla tholloni,conmoo1,Exact match
myrmecocichla monticola,mouwhe1,Exact match
oenanthe oenanthe,norwhe,Exact match
oenanthe seebohmi,norwhe3,Exact match
oenanthe pileata,capwhe1,Exact match
oenanthe isabellina,isawhe1,Exact match
oenanthe monacha,hoowhe1,Exact match
oenanthe deserti,deswhe1,Exact match
oenanthe hispanica,bkewhe1,Exact match
oenanthe melanoleuca,bkewhe2,Exact match
oenanthe cypriaca,cypwhe1,Exact match
oenanthe pleschanka,piewhe1,Exact match
oenanthe phillipsi,somwhe1,Exact match
oenanthe moesta,rerwhe1,Exact match
oenanthe melanura,blacks1,Exact match
oenanthe familiaris,famcha1,Exact match
oenanthe dubia,somcha1,Exact match
oenanthe fusca,indcha1,Exact match
oenanthe picata,varwhe1,Exact match
oenanthe leucura,blawhe1,Exact match
oenanthe lugubris,mouwhe4,Exact match
oenanthe leucopyga,whtwhe1,Exact match
oenanthe albonigra,humwhe2,Exact match
oenanthe finschii,finwhe1,Exact match
oenanthe lugentoides,mouwhe5,Exact match
oenanthe xanthoprymna,retwhe3,Exact match
cinclus cinclus,whtdip1,Exact match
cinclus pallasii,brodip1,Exact match
cinclus mexicanus,amedip,Exact match
cinclus leucocephalus,whcdip1,Exact match
cinclus schulzii,rutdip1,Exact match
chloropsis flavipennis,philea1,Exact match
chloropsis palawanensis,yetlea1,Exact match
chloropsis sonnerati,grglea1,Exact match
chloropsis cyanopogon,leglea1,Exact match
chloropsis kinabaluensis,borlea1,Exact match
chloropsis jerdoni,jerlea1,Exact match
chloropsis aurifrons,goflea1,Exact match
chloropsis media,sumlea1,Exact match
chloropsis venusta,blmlea1,Exact match
prionochilus olivaceus,olbflo1,Exact match
prionochilus maculatus,yebflo2,Exact match
prionochilus percussus,crbflo1,Exact match
prionochilus plateni,palflo1,Exact match
prionochilus xanthopygius,yerflo1,Exact match
