xenocanto_11_2,ebird2022_species,comment
cyrtonyx ocellatus,ocequa1,Exact match
rhynchortyx cinctus,tafqua1,Exact match
caloperdix oculeus,ferpar2,Exact match
rollulus rouloul,crepar1,Exact match
melanoperdix niger,blapar2,Exact match
arborophila torqueola,hilpar1,Exact match
arborophila rufipectus,sicpar1,Exact match
arborophila mandellii,chbpar2,Exact match
arborophila gingica,whnpar2,Exact match
arborophila rufogularis,rutpar1,Exact match
arborophila rubrirostris,rebpar3,Exact match
arborophila ardens,haipar1,Exact match
arborophila crudigularis,taipar1,Exact match
arborophila atrogularis,whcpar1,Exact match
arborophila brunneopectus,babpar1,Exact match
arborophila davidi,ornpar1,Exact match
arborophila hyperythra,rebpar5,Exact match
arborophila campbelli,gybpar3,Exact match
arborophila rolli,gybpar5,Exact match
arborophila sumatrana,gybpar6,Exact match
arborophila javanica,chbpar1,Exact match
lerwa lerwa,snopar1,Exact match
ithaginis cruentus,blophe1,Exact match
tragopan melanocephalus,westra1,Exact match
tragopan satyra,sattra1,Exact match
tragopan blythii,blytra1,Exact match
tragopan temminckii,temtra1,Exact match
tragopan caboti,cabtra1,Exact match
lophophorus impejanus,himmon1,Exact match
lophophorus sclateri,sclmon1,Exact match
lophophorus lhuysii,chimon1,Exact match
pucrasia macrolopha,kokphe1,Exact match
meleagris gallopavo,wiltur,Exact match
meleagris ocellata,ocetur1,Exact match
bonasa umbellus,rufgro,Exact match
tetrastes bonasia,hazgro1,Exact match
dendragapus obscurus,dusgro,Exact match
dendragapus fuliginosus,soogro1,Exact match
tympanuchus phasianellus,shtgro,Exact match
lagopus leucura,whtpta1,Exact match
lagopus lagopus,wilpta,Exact match
lagopus muta,rocpta1,Exact match
falcipennis falcipennis,sibgro2,Exact match
canachites canadensis,sprgro,Exact match
tetrao urogallus,wescap1,Exact match
tetrao urogalloides,blbcap1,Exact match
lyrurus tetrix,blagro1,Exact match
lyrurus mlokosiewiczi,caugro1,Exact match
rhizothera longirostris,lobpar3,Exact match
rhizothera dulitensis,lobpar2,Exact match
perdix hodgsoniae,tibpar1,Exact match
perdix dauurica,daupar1,Exact match
syrmaticus soemmerringii,copphe1,Exact match
syrmaticus reevesii,reephe1,Exact match
syrmaticus mikado,mikphe1,Exact match
syrmaticus ellioti,ellphe1,Exact match
