birdnet,ebird2021,comment
Branta leucopsis,bargoo,
Branta sandvicensis,hawgoo,
Brotogeris chiriri,yecpar,
Brotogeris chrysoptera,gowpar2,
Brotogeris cyanoptera,cowpar1,
Brotogeris jugularis,orcpar,
Brotogeris tirica,plapar1,
Bubo bubo,eueowl1,
Bubo virginianus,grhowl,
Bubulcus ibis,categr,
Bucanetes githagineus,trufin2,
Bucephala albeola,buffle,
Bucephala clangula,comgol,
Buceros bicornis,grehor1,
Buceros rhinoceros,rhihor1,
Bulweria bulwerii,bulpet,
Burhinus grallarius,butkne1,
Burhinus indicus,indthk1,
Burhinus oedicnemus,eutkne1,
Busarellus nigricollis,blchaw1,
Buteo albonotatus,zothaw,
Buteo brachyurus,shthaw,
Buteo buteo,combuz1,
Buteo jamaicensis,rethaw,
Buteo lineatus,reshaw,
Buteo nitidus,gryhaw3,
Buteo plagiatus,gryhaw2,
Buteo platypterus,brwhaw,
Buteo solitarius,hawhaw,
Buteo swainsoni,swahaw,
Buteogallus anthracinus,comblh1,
Buteogallus meridionalis,savhaw1,
Buteogallus urubitinga,grbhaw1,
Butorides striata,strher,
Butorides virescens,grnher,
Cacatua galerita,succoc,
Cacatua goffiniana,tancoc1,
Cacatua sanguinea,litcor2,
Cacicus cela,yercac1,
Cacicus chrysonotus,moucac1,
Cacicus chrysopterus,gowcac1,
Cacicus haemorrhous,rercac1,
Cacicus solitarius,sobcac1,
Cacicus uropygialis,scrcac1,
Cacomantis flabelliformis,fatcuc1,
Cacomantis merulinus,placuc1,
Cacomantis pallidus,palcuc1,
Cacomantis passerinus,placuc3,
Cacomantis sonneratii,babcuc2,
Cacomantis variolosus,brucuc1,
Calamospiza melanocorys,larbun,
Calandrella brachydactyla,gstlar1,
Calandrella cinerea,reclar1,
Calcarius lapponicus,laplon,
Calcarius ornatus,chclon,
Calcarius pictus,smilon,
Calendulauda sabota,sablar2,
Calidris acuminata,shtsan,
Calidris alba,sander,
Calidris alpina,dunlin,
Calidris bairdii,baisan,
Calidris canutus,redkno,
Calidris ferruginea,cursan,
Calidris fuscicollis,whrsan,
Calidris himantopus,stisan,
Calidris maritima,pursan,
Calidris mauri,wessan,
Calidris melanotos,pecsan,
Calidris minuta,litsti,
