ioc_12_2,clements
meliarchus sclateri,meliarchus sclateri
gymnomyza viridis,gymnomyza viridis
gymnomyza brunneirostris,gymnomyza brunneirostris
gymnomyza samoensis,gymnomyza samoensis
gymnomyza aubryana,gymnomyza aubryana
foulehaio carunculatus,foulehaio carunculatus
foulehaio taviunensis,foulehaio taviunensis
foulehaio procerior,foulehaio procerior
meliphacator provocator,meliphacator provocator
nesoptilotis leucotis,nesoptilotis leucotis
nesoptilotis flavicollis,nesoptilotis flavicollis
entomyzon cyanotis,entomyzon cyanotis
melithreptus gularis,melithreptus gularis
melithreptus validirostris,melithreptus validirostris
melithreptus brevirostris,melithreptus brevirostris
melithreptus albogularis,melithreptus albogularis
melithreptus lunatus,melithreptus lunatus
melithreptus chloropsis,melithreptus chloropsis
melithreptus affinis,melithreptus affinis
stomiopera unicolor,stomiopera unicolor
stomiopera flava,stomiopera flava
meliphaga aruensis,meliphaga aruensis
meliphaga notata,meliphaga notata
meliphaga lewinii,meliphaga lewinii
purnella albifrons,purnella albifrons
lichenostomus melanops,lichenostomus melanops
lichenostomus cratitius,lichenostomus cratitius
microptilotis mimikae,microptilotis mimikae
microptilotis montanus,microptilotis montanus
microptilotis orientalis,microptilotis orientalis
microptilotis albonotatus,microptilotis albonotatus
microptilotis analogus,microptilotis analogus
microptilotis vicina,microptilotis vicina
microptilotis gracilis,microptilotis gracilis
microptilotis imitatrix,microptilotis imitatrix
microptilotis cinereifrons,microptilotis cinereifrons
microptilotis flavirictus,microptilotis flavirictus
territornis albilineata,territornis albilineata
territornis fordiana,territornis fordiana
territornis reticulata,territornis reticulata
gavicalis versicolor,gavicalis versicolor
gavicalis fasciogularis,gavicalis fasciogularis
gavicalis virescens,gavicalis virescens
oreornis chrysogenys,oreornis chrysogenys
ptilotula flavescens,ptilotula flavescens
ptilotula fusca,ptilotula fusca
ptilotula keartlandi,ptilotula keartlandi
ptilotula plumula,ptilotula plumula
ptilotula ornata,ptilotula ornata
ptilotula penicillata,ptilotula penicillata
caligavis chrysops,caligavis chrysops
caligavis subfrenata,caligavis subfrenata
caligavis obscura,caligavis obscura
anthochaera chrysoptera,anthochaera chrysoptera
anthochaera lunulata,anthochaera lunulata
anthochaera carunculata,anthochaera carunculata
anthochaera paradoxa,anthochaera paradoxa
anthochaera phrygia,anthochaera phrygia
acanthagenys rufogularis,acanthagenys rufogularis
bolemoreus frenatus,bolemoreus frenatus
bolemoreus hindwoodi,bolemoreus hindwoodi
melidectes ochromelas,melidectes ochromelas
melidectes leucostephes,melidectes leucostephes
melidectes rufocrissalis,melidectes rufocrissalis
melidectes foersteri,melidectes foersteri
melidectes belfordi,melidectes belfordi
melidectes torquatus,melidectes torquatus
manorina melanophrys,manorina melanophrys
manorina melanocephala,manorina melanocephala
manorina flavigula,manorina flavigula
manorina melanotis,manorina melanotis
dasyornis brachypterus,dasyornis brachypterus
dasyornis longirostris,dasyornis longirostris
dasyornis broadbenti,dasyornis broadbenti
pardalotus punctatus,pardalotus punctatus
pardalotus quadragintus,pardalotus quadragintus
pardalotus rubricatus,pardalotus rubricatus
pardalotus striatus,pardalotus striatus
pachycare flavogriseum,pachycare flavogriseum
oreoscopus gutturalis,oreoscopus gutturalis
acanthornis magna,acanthornis magna
smicrornis brevirostris,smicrornis brevirostris
calamanthus fuliginosus,calamanthus fuliginosus
calamanthus montanellus,calamanthus montanellus
calamanthus campestris,calamanthus campestris
hylacola pyrrhopygia,hylacola pyrrhopygia
hylacola cauta,hylacola cauta
pycnoptilus floccosus,pycnoptilus floccosus
pyrrholaemus brunneus,pyrrholaemus brunneus
pyrrholaemus sagittatus,pyrrholaemus sagittatus
origma solitaria,origma solitaria
origma murina,crateroscelis murina
origma robusta,crateroscelis robusta
neosericornis citreogularis,sericornis citreogularis
aethomyias nigrorufus,crateroscelis nigrorufa
aethomyias spilodera,sericornis spilodera
aethomyias rufescens,sericornis rufescens
aethomyias perspicillatus,sericornis perspicillatus
aethomyias papuensis,sericornis papuensis
aethomyias arfakianus,sericornis arfakianus
sericornis magnirostra,sericornis magnirostra
sericornis beccarii,sericornis beccarii
sericornis nouhuysi,sericornis nouhuysi
sericornis maculatus,unknown
sericornis humilis,sericornis humilis
sericornis keri,sericornis keri
sericornis frontalis,sericornis frontalis
sericornis virgatus,sericornis virgatus
gerygone mouki,gerygone mouki
gerygone igata,gerygone igata
gerygone modesta,gerygone modesta
gerygone insularis,gerygone insularis
gerygone albofrontata,gerygone albofrontata
gerygone flavolateralis,gerygone flavolateralis
gerygone citrina,unknown
gerygone ruficollis,gerygone ruficollis
gerygone sulphurea,gerygone sulphurea
gerygone dorsalis,gerygone dorsalis
gerygone levigaster,gerygone levigaster
gerygone inornata,gerygone inornata
gerygone fusca,gerygone fusca
gerygone tenebrosa,gerygone tenebrosa
gerygone magnirostris,gerygone magnirostris
gerygone hypoxantha,gerygone hypoxantha
gerygone chrysogaster,gerygone chrysogaster
gerygone chloronota,gerygone chloronota
gerygone olivacea,gerygone olivacea
gerygone palpebrosa,gerygone palpebrosa
acanthiza katherina,acanthiza katherina
acanthiza pusilla,acanthiza pusilla
acanthiza apicalis,acanthiza apicalis
acanthiza ewingii,acanthiza ewingii
acanthiza murina,acanthiza murina
acanthiza uropygialis,acanthiza uropygialis
acanthiza reguloides,acanthiza reguloides
acanthiza inornata,acanthiza inornata
acanthiza iredalei,acanthiza iredalei
acanthiza chrysorrhoa,acanthiza chrysorrhoa
acanthiza nana,acanthiza nana
acanthiza cinerea,acanthiza cinerea
acanthiza lineata,acanthiza lineata
acanthiza robustirostris,acanthiza robustirostris
aphelocephala leucopsis,aphelocephala leucopsis
aphelocephala pectoralis,aphelocephala pectoralis
aphelocephala nigricincta,aphelocephala nigricincta
garritornis isidorei,pomatostomus isidorei
pomatostomus temporalis,pomatostomus temporalis
pomatostomus halli,pomatostomus halli
pomatostomus superciliosus,pomatostomus superciliosus
pomatostomus ruficeps,pomatostomus ruficeps
orthonyx novaeguineae,orthonyx novaeguineae
orthonyx temminckii,orthonyx temminckii
orthonyx spaldingii,orthonyx spaldingii
cnemophilus loriae,cnemophilus loriae
cnemophilus macgregorii,cnemophilus macgregorii
loboparadisea sericea,loboparadisea sericea
melanocharis arfakiana,melanocharis arfakiana
melanocharis longicauda,melanocharis longicauda
melanocharis nigra,melanocharis nigra
melanocharis versteri,melanocharis versteri
melanocharis striativentris,melanocharis striativentris
melanocharis citreola,melanocharis citreola
rhamphocharis crassirostris,melanocharis crassirostris
rhamphocharis piperata,unknown
oedistoma iliolophus,oedistoma iliolophus
oedistoma pygmaeum,oedistoma pygmaeum
toxorhamphus novaeguineae,toxorhamphus novaeguineae
toxorhamphus poliopterus,toxorhamphus poliopterus
oreocharis arfaki,oreocharis arfaki
paramythia olivacea,unknown
paramythia montium,paramythia montium
callaeas wilsoni,callaeas wilsoni
callaeas cinereus,callaeas cinereus
philesturnus rufusater,philesturnus rufusater
philesturnus carunculatus,philesturnus carunculatus
heteralocha acutirostris,heteralocha acutirostris
notiomystis cincta,notiomystis cincta
androphobus viridis,androphobus viridis
psophodes olivaceus,psophodes olivaceus
psophodes nigrogularis,psophodes nigrogularis
psophodes leucogaster,unknown
psophodes cristatus,psophodes cristatus
psophodes occidentalis,psophodes occidentalis
ptilorrhoa leucosticta,ptilorrhoa leucosticta
ptilorrhoa caerulescens,ptilorrhoa caerulescens
ptilorrhoa geislerorum,ptilorrhoa geislerorum
ptilorrhoa castanonota,ptilorrhoa castanonota
cinclosoma punctatum,cinclosoma punctatum
cinclosoma castanotum,cinclosoma castanotum
cinclosoma clarum,cinclosoma clarum
cinclosoma cinnamomeum,cinclosoma cinnamomeum
cinclosoma alisteri,cinclosoma alisteri
cinclosoma castaneothorax,cinclosoma castaneothorax
cinclosoma marginatum,cinclosoma marginatum
cinclosoma ajax,cinclosoma ajax
batis diops,batis diops
batis margaritae,batis margaritae
batis mixta,batis mixta
batis reichenowi,unknown
batis crypta,batis crypta
batis capensis,batis capensis
batis fratrum,batis fratrum
batis molitor,batis molitor
batis senegalensis,batis senegalensis
batis orientalis,batis orientalis
batis soror,batis soror
batis pririt,batis pririt
batis minor,batis minor
batis erlangeri,batis erlangeri
batis perkeo,batis perkeo
batis minulla,batis minulla
batis minima,batis minima
batis ituriensis,batis ituriensis
batis occulta,batis occulta
batis poensis,batis poensis
lanioturdus torquatus,lanioturdus torquatus
platysteira hormophora,platysteira hormophora
platysteira castanea,platysteira castanea
platysteira tonsa,platysteira tonsa
platysteira laticincta,platysteira laticincta
platysteira peltata,platysteira peltata
platysteira albifrons,platysteira albifrons
platysteira cyanea,platysteira cyanea
platysteira concreta,platysteira concreta
platysteira blissetti,platysteira blissetti
platysteira chalybea,platysteira chalybea
platysteira jamesoni,platysteira jamesoni
malaconotus cruentus,malaconotus cruentus
malaconotus monteiri,malaconotus monteiri
malaconotus blanchoti,malaconotus blanchoti
malaconotus lagdeni,malaconotus lagdeni
malaconotus gladiator,malaconotus gladiator
malaconotus alius,malaconotus alius
chlorophoneus kupeensis,telophorus kupeensis
chlorophoneus multicolor,telophorus multicolor
chlorophoneus nigrifrons,telophorus nigrifrons
chlorophoneus olivaceus,telophorus olivaceus
chlorophoneus bocagei,telophorus bocagei
chlorophoneus sulfureopectus,telophorus sulfureopectus
telophorus viridis,telophorus viridis
telophorus dohertyi,telophorus dohertyi
telophorus zeylonus,telophorus zeylonus
telophorus cruentus,rhodophoneus cruentus
bocagia minuta,tchagra minutus
tchagra australis,tchagra australis
tchagra jamesi,tchagra jamesi
tchagra tchagra,tchagra tchagra
tchagra senegalus,tchagra senegalus
dryoscopus sabini,dryoscopus sabini
dryoscopus angolensis,dryoscopus angolensis
dryoscopus senegalensis,dryoscopus senegalensis
dryoscopus cubla,dryoscopus cubla
dryoscopus gambensis,dryoscopus gambensis
dryoscopus pringlii,dryoscopus pringlii
laniarius leucorhynchus,laniarius leucorhynchus
laniarius poensis,laniarius poensis
laniarius holomelas,laniarius holomelas
laniarius willardi,laniarius willardi
laniarius fuelleborni,laniarius fuelleborni
laniarius funebris,laniarius funebris
laniarius luehderi,laniarius luehderi
laniarius brauni,laniarius brauni
laniarius amboimensis,laniarius amboimensis
laniarius ruficeps,laniarius ruficeps
laniarius nigerrimus,laniarius nigerrimus
laniarius aethiopicus,laniarius aethiopicus
laniarius major,laniarius major
laniarius sublacteus,laniarius sublacteus
laniarius ferrugineus,laniarius ferrugineus
laniarius bicolor,laniarius bicolor
laniarius turatii,laniarius turatii
laniarius barbarus,laniarius barbarus
laniarius mufumbiri,laniarius mufumbiri
laniarius erythrogaster,laniarius erythrogaster
laniarius atrococcineus,laniarius atrococcineus
laniarius atroflavus,laniarius atroflavus
nilaus afer,nilaus afer
machaerirhynchus flaviventer,machaerirhynchus flaviventer
machaerirhynchus nigripectus,machaerirhynchus nigripectus
calicalicus madagascariensis,calicalicus madagascariensis
calicalicus rufocarpalis,calicalicus rufocarpalis
vanga curvirostris,vanga curvirostris
oriolia bernieri,oriolia bernieri
xenopirostris xenopirostris,xenopirostris xenopirostris
xenopirostris damii,xenopirostris damii
xenopirostris polleni,xenopirostris polleni
falculea palliata,falculea palliata
artamella viridis,artamella viridis
leptopterus chabert,leptopterus chabert
cyanolanius madagascarinus,cyanolanius madagascarinus
schetba rufa,schetba rufa
euryceros prevostii,euryceros prevostii
tylas eduardi,tylas eduardi
hypositta corallirostris,hypositta corallirostris
newtonia amphichroa,newtonia amphichroa
newtonia brunneicauda,newtonia brunneicauda
newtonia archboldi,newtonia archboldi
newtonia fanovanae,newtonia fanovanae
pseudobias wardi,pseudobias wardi
mystacornis crossleyi,mystacornis crossleyi
prionops plumatus,prionops plumatus
prionops poliolophus,prionops poliolophus
prionops alberti,prionops alberti
prionops caniceps,prionops caniceps
prionops rufiventris,prionops rufiventris
prionops retzii,prionops retzii
prionops gabela,prionops gabela
prionops scopifrons,prionops scopifrons
hemipus picatus,hemipus picatus
hemipus hirundinaceus,hemipus hirundinaceus
tephrodornis virgatus,tephrodornis virgatus
tephrodornis sylvicola,tephrodornis sylvicola
tephrodornis pondicerianus,tephrodornis pondicerianus
tephrodornis affinis,tephrodornis affinis
philentoma pyrhoptera,philentoma pyrhoptera
philentoma velata,philentoma velata
megabyas flammulatus,megabyas flammulatus
bias musicus,bias musicus
pityriasis gymnocephala,pityriasis gymnocephala
artamus fuscus,artamus fuscus
artamus leucorynchus,artamus leucorynchus
artamus mentalis,artamus mentalis
artamus monachus,artamus monachus
artamus maximus,artamus maximus
artamus insignis,artamus insignis
artamus personatus,artamus personatus
artamus superciliosus,artamus superciliosus
artamus cinereus,artamus cinereus
artamus cyanopterus,artamus cyanopterus
artamus minor,artamus minor
peltops blainvillii,peltops blainvillii
peltops montanus,peltops montanus
melloria quoyi,cracticus quoyi
gymnorhina tibicen,gymnorhina tibicen
cracticus torquatus,cracticus torquatus
cracticus argenteus,cracticus argenteus
cracticus mentalis,cracticus mentalis
cracticus nigrogularis,cracticus nigrogularis
cracticus cassicus,cracticus cassicus
cracticus louisiadensis,cracticus louisiadensis
strepera graculina,strepera graculina
strepera fuliginosa,strepera fuliginosa
strepera versicolor,strepera versicolor
rhagologus leucostigma,rhagologus leucostigma
aegithina tiphia,aegithina tiphia
aegithina nigrolutea,aegithina nigrolutea
aegithina viridissima,aegithina viridissima
aegithina lafresnayei,aegithina lafresnayei
pericrocotus erythropygius,pericrocotus erythropygius
pericrocotus albifrons,pericrocotus albifrons
pericrocotus igneus,pericrocotus igneus
pericrocotus cinnamomeus,pericrocotus cinnamomeus
pericrocotus solaris,pericrocotus solaris
pericrocotus miniatus,pericrocotus miniatus
pericrocotus brevirostris,pericrocotus brevirostris
pericrocotus lansbergei,pericrocotus lansbergei
pericrocotus ethologus,pericrocotus ethologus
pericrocotus flammeus,pericrocotus flammeus
pericrocotus speciosus,pericrocotus speciosus
pericrocotus divaricatus,pericrocotus divaricatus
pericrocotus tegimae,pericrocotus tegimae
pericrocotus cantonensis,pericrocotus cantonensis
pericrocotus roseus,pericrocotus roseus
ceblepyris cinereus,coracina cinerea
ceblepyris cucullatus,coracina cucullata
ceblepyris graueri,coracina graueri
ceblepyris pectoralis,coracina pectoralis
ceblepyris caesius,coracina caesia
coracina caeruleogrisea,coracina caeruleogrisea
coracina longicauda,coracina longicauda
coracina temminckii,coracina temminckii
coracina bicolor,coracina bicolor
coracina maxima,coracina maxima
coracina lineata,coracina lineata
coracina novaehollandiae,coracina novaehollandiae
coracina boyeri,coracina boyeri
coracina fortis,coracina fortis
coracina personata,coracina personata
coracina welchmani,coracina welchmani
coracina caledonica,coracina caledonica
coracina striata,coracina striata
coracina javensis,coracina javensis
coracina macei,coracina macei
coracina dobsoni,coracina dobsoni
coracina schistacea,coracina schistacea
coracina leucopygia,coracina leucopygia
coracina larvata,coracina larvata
coracina papuensis,coracina papuensis
coracina ingens,coracina ingens
coracina atriceps,coracina atriceps
campephaga flava,campephaga flava
campephaga phoenicea,campephaga phoenicea
campephaga petiti,campephaga petiti
campephaga quiscalina,campephaga quiscalina
lobotos lobatus,lobotos lobatus
lobotos oriolinus,lobotos oriolinus
campochaera sloetii,campochaera sloetii
malindangia mcgregori,malindangia mcgregori
edolisoma anale,analisoma analis
edolisoma ostentum,analisoma ostenta
edolisoma coerulescens,analisoma coerulescens
edolisoma montanum,edolisoma montanum
edolisoma dohertyi,edolisoma dohertyi
edolisoma dispar,edolisoma dispar
edolisoma schisticeps,edolisoma schisticeps
edolisoma ceramense,edolisoma ceramense
edolisoma mindanense,edolisoma mindanense
edolisoma salomonis,edolisoma salomonis
edolisoma holopolium,edolisoma holopolium
edolisoma morio,edolisoma morio
edolisoma incertum,edolisoma incertum
edolisoma remotum,unknown
edolisoma sula,edolisoma sula
edolisoma tenuirostre,edolisoma tenuirostre
edolisoma admiralitatis,edolisoma admiralitatis
edolisoma monacha,unknown
edolisoma nesiotis,unknown
edolisoma insperatum,unknown
edolisoma melas,edolisoma melas
edolisoma parvulum,celebesia parvula
celebesica abbotti,celebesia abbotti
cyanograucalus azureus,cyanograucalus azureus
lalage maculosa,lalage maculosa
lalage sharpei,lalage sharpei
lalage sueurii,lalage sueurii
lalage leucopyga,lalage leucopyga
lalage tricolor,lalage tricolor
lalage aurea,lalage aurea
lalage atrovirens,lalage atrovirens
lalage leucoptera,unknown
lalage moesta,lalage moesta
lalage leucomela,lalage leucomela
lalage conjuncta,lalage conjuncta
lalage melanoleuca,lalage melanoleuca
lalage nigra,lalage nigra
lalage leucopygialis,lalage leucopygialis
lalage melaschistos,lalage melaschistos
lalage melanoptera,lalage melanoptera
lalage polioptera,lalage polioptera
lalage fimbriata,lalage fimbriata
lalage typica,lalage typica
lalage newtoni,lalage newtoni
mohoua ochrocephala,mohoua ochrocephala
mohoua albicilla,mohoua albicilla
mohoua novaeseelandiae,mohoua novaeseelandiae
daphoenositta chrysoptera,daphoenositta chrysoptera
daphoenositta papuensis,daphoenositta papuensis
daphoenositta miranda,daphoenositta miranda
eulacestoma nigropectus,eulacestoma nigropectus
aleadryas rufinucha,aleadryas rufinucha
ornorectes cristatus,ornorectes cristatus
oreoica gutturalis,oreoica gutturalis
falcunculus frontatus,falcunculus frontatus
coracornis raveni,coracornis raveni
coracornis sanghirensis,coracornis sanghirensis
melanorectes nigrescens,melanorectes nigrescens
pachycephala olivacea,pachycephala olivacea
pachycephala rufogularis,pachycephala rufogularis
pachycephala inornata,pachycephala inornata
pachycephala cinerea,pachycephala cinerea
pachycephala albiventris,pachycephala albiventris
pachycephala homeyeri,pachycephala homeyeri
pachycephala phaionota,pachycephala phaionota
pachycephala melanorhyncha,pachycephala melanorhyncha
pachycephala hyperythra,pachycephala hyperythra
pachycephala modesta,pachycephala modesta
pachycephala philippinensis,pachycephala philippinensis
pachycephala sulfuriventer,pachycephala sulfuriventer
pachycephala hypoxantha,pachycephala hypoxantha
pachycephala meyeri,pachycephala meyeri
pachycephala simplex,pachycephala simplex
pachycephala orpheus,pachycephala orpheus
pachycephala soror,pachycephala soror
pachycephala fulvotincta,pachycephala fulvotincta
pachycephala macrorhyncha,pachycephala macrorhyncha
pachycephala balim,pachycephala balim
pachycephala mentalis,pachycephala mentalis
pachycephala pectoralis,pachycephala pectoralis
pachycephala fuliginosa,pachycephala fuliginosa
pachycephala citreogaster,pachycephala citreogaster
pachycephala orioloides,pachycephala orioloides
pachycephala collaris,pachycephala collaris
pachycephala feminina,pachycephala feminina
pachycephala chlorura,pachycephala chlorura
pachycephala caledonica,pachycephala caledonica
pachycephala vitiensis,pachycephala vitiensis
pachycephala vanikorensis,pachycephala vanikorensis
pachycephala jacquinoti,pachycephala jacquinoti
pachycephala melanura,pachycephala melanura
pachycephala flavifrons,pachycephala flavifrons
pachycephala implicata,pachycephala implicata
pachycephala richardsi,pachycephala richardsi
pachycephala nudigula,pachycephala nudigula
pachycephala lorentzi,pachycephala lorentzi
pachycephala schlegelii,pachycephala schlegelii
pachycephala aurea,pachycephala aurea
pachycephala rufiventris,pachycephala rufiventris
pachycephala monacha,pachycephala monacha
pachycephala leucogastra,pachycephala leucogastra
pachycephala arctitorquis,pachycephala arctitorquis
pachycephala griseonota,pachycephala griseonota
pachycephala johni,unknown
pachycephala lanioides,pachycephala lanioides
pachycephala tenebrosa,pachycephala tenebrosa
pseudorectes incertus,pseudorectes incertus
pseudorectes ferrugineus,pseudorectes ferrugineus
colluricincla boweri,colluricincla boweri
colluricincla tenebrosa,colluricincla tenebrosa
colluricincla megarhyncha,colluricincla megarhyncha
colluricincla fortis,colluricincla fortis
colluricincla affinis,colluricincla affinis
colluricincla obscura,colluricincla obscura
colluricincla discolor,colluricincla discolor
colluricincla tappenbecki,colluricincla tappenbecki
colluricincla rufogaster,colluricincla rufogaster
colluricincla harmonica,colluricincla harmonica
colluricincla woodwardi,colluricincla woodwardi
corvinella corvina,lanius corvinus
urolestes melanoleucus,lanius melanoleucus
eurocephalus ruppelli,eurocephalus ruppelli
eurocephalus anguitimens,eurocephalus anguitimens
lanius tigrinus,lanius tigrinus
lanius souzae,lanius souzae
lanius bucephalus,lanius bucephalus
lanius cristatus,lanius cristatus
lanius collurio,lanius collurio
lanius isabellinus,lanius isabellinus
lanius phoenicuroides,lanius phoenicuroides
lanius collurioides,lanius collurioides
lanius gubernator,lanius gubernator
lanius vittatus,lanius vittatus
lanius schach,lanius schach
lanius tephronotus,lanius tephronotus
lanius validirostris,lanius validirostris
lanius mackinnoni,lanius mackinnoni
lanius minor,lanius minor
lanius ludovicianus,lanius ludovicianus
lanius borealis,lanius borealis
lanius excubitor,lanius excubitor
lanius meridionalis,lanius meridionalis
lanius giganteus,lanius giganteus
lanius sphenocercus,lanius sphenocercus
lanius excubitoroides,lanius excubitoroides
lanius cabanisi,lanius cabanisi
lanius dorsalis,lanius dorsalis
lanius somalicus,lanius somalicus
lanius humeralis,lanius humeralis
lanius collaris,lanius collaris
lanius newtoni,lanius newtoni
lanius senator,lanius senator
lanius nubicus,lanius nubicus
pteruthius xanthochlorus,pteruthius xanthochlorus
pteruthius melanotis,pteruthius melanotis
pteruthius rufiventer,pteruthius rufiventer
pteruthius ripleyi,pteruthius ripleyi
pteruthius aeralatus,pteruthius aeralatus
pteruthius annamensis,pteruthius annamensis
pteruthius flaviscapis,pteruthius flaviscapis
pteruthius intermedius,pteruthius intermedius
pteruthius aenobarbus,pteruthius aenobarbus
erpornis zantholeuca,erpornis zantholeuca
cyclarhis gujanensis,cyclarhis gujanensis
cyclarhis nigrirostris,cyclarhis nigrirostris
vireolanius melitophrys,vireolanius melitophrys
vireolanius pulchellus,vireolanius pulchellus
vireolanius eximius,vireolanius eximius
vireolanius leucotis,vireolanius leucotis
hylophilus amaurocephalus,hylophilus amaurocephalus
hylophilus poicilotis,hylophilus poicilotis
hylophilus olivaceus,hylophilus olivaceus
hylophilus pectoralis,hylophilus pectoralis
hylophilus brunneiceps,hylophilus brunneiceps
hylophilus thoracicus,hylophilus thoracicus
hylophilus flavipes,hylophilus flavipes
hylophilus semicinereus,hylophilus semicinereus
tunchiornis ochraceiceps,tunchiornis ochraceiceps
pachysylvia decurtata,pachysylvia decurtata
pachysylvia hypoxantha,pachysylvia hypoxantha
pachysylvia muscicapina,pachysylvia muscicapina
pachysylvia aurantiifrons,pachysylvia aurantiifrons
pachysylvia semibrunnea,pachysylvia semibrunnea
vireo hypochryseus,vireo hypochryseus
vireo flavoviridis,vireo flavoviridis
vireo olivaceus,vireo olivaceus
vireo magister,vireo magister
vireo altiloquus,vireo altiloquus
vireo chivi,vireo chivi
vireo gracilirostris,vireo gracilirostris
vireo sclateri,vireo sclateri
vireo philadelphicus,vireo philadelphicus
vireo gilvus,vireo gilvus
vireo leucophrys,vireo leucophrys
vireo huttoni,vireo huttoni
vireo vicinior,vireo vicinior
vireo flavifrons,vireo flavifrons
vireo carmioli,vireo carmioli
vireo masteri,vireo masteri
vireo solitarius,vireo solitarius
vireo cassinii,vireo cassinii
vireo plumbeus,vireo plumbeus
vireo osburni,vireo osburni
vireo nanus,vireo nanus
vireo pallens,vireo pallens
vireo approximans,unknown
vireo bairdi,vireo bairdi
vireo caribaeus,vireo caribaeus
vireo griseus,vireo griseus
vireo crassirostris,vireo crassirostris
vireo modestus,vireo modestus
vireo gundlachii,vireo gundlachii
vireo bellii,vireo bellii
vireo latimeri,vireo latimeri
vireo atricapilla,vireo atricapilla
vireo nelsoni,vireo nelsoni
vireo brevipennis,vireo brevipennis
turnagra tanagra,turnagra tanagra
turnagra capensis,turnagra capensis
sphecotheres viridis,sphecotheres viridis
sphecotheres hypoleucus,sphecotheres hypoleucus
sphecotheres vieilloti,sphecotheres vieilloti
pitohui kirhocephalus,pitohui kirhocephalus
pitohui cerviniventris,pitohui cerviniventris
pitohui uropygialis,pitohui uropygialis
pitohui dichrous,pitohui dichrous
oriolus isabellae,oriolus isabellae
oriolus forsteni,oriolus forsteni
oriolus bouroensis,oriolus bouroensis
oriolus phaeochromus,oriolus phaeochromus
oriolus sagittatus,oriolus sagittatus
oriolus melanotis,oriolus melanotis
oriolus finschi,unknown
oriolus decipiens,oriolus decipiens
oriolus szalayi,oriolus szalayi
oriolus flavocinctus,oriolus flavocinctus
oriolus cruentus,oriolus cruentus
oriolus hosii,oriolus hosii
oriolus traillii,oriolus traillii
oriolus mellianus,oriolus mellianus
oriolus xanthornus,oriolus xanthornus
oriolus xanthonotus,oriolus xanthonotus
oriolus steerii,oriolus steerii
oriolus albiloris,oriolus albiloris
oriolus chlorocephalus,oriolus chlorocephalus
oriolus brachyrynchus,oriolus brachyrynchus
oriolus crassirostris,oriolus crassirostris
oriolus larvatus,oriolus larvatus
oriolus monacha,oriolus monacha
oriolus percivali,oriolus percivali
oriolus nigripennis,oriolus nigripennis
oriolus auratus,oriolus auratus
oriolus kundoo,oriolus kundoo
oriolus oriolus,oriolus oriolus
oriolus chinensis,oriolus chinensis
oriolus tenuirostris,oriolus tenuirostris
dicrurus aeneus,dicrurus aeneus
dicrurus remifer,dicrurus remifer
dicrurus annectens,dicrurus annectens
dicrurus paradiseus,dicrurus paradiseus
dicrurus lophorinus,dicrurus lophorinus
dicrurus andamanensis,dicrurus andamanensis
dicrurus sumatranus,dicrurus sumatranus
dicrurus montanus,dicrurus montanus
dicrurus bracteatus,dicrurus bracteatus
dicrurus megarhynchus,dicrurus megarhynchus
dicrurus hottentottus,dicrurus hottentottus
dicrurus menagei,dicrurus menagei
dicrurus palawanensis,unknown
dicrurus balicassius,dicrurus balicassius
dicrurus densus,dicrurus densus
dicrurus leucophaeus,dicrurus leucophaeus
dicrurus caerulescens,dicrurus caerulescens
dicrurus waldenii,dicrurus waldenii
dicrurus forficatus,dicrurus forficatus
dicrurus aldabranus,dicrurus aldabranus
dicrurus fuscipennis,dicrurus fuscipennis
dicrurus modestus,dicrurus modestus
dicrurus adsimilis,dicrurus adsimilis
dicrurus macrocercus,dicrurus macrocercus
dicrurus atactus,dicrurus atactus
dicrurus divaricatus,dicrurus divaricatus
dicrurus ludwigii,dicrurus ludwigii
dicrurus atripennis,dicrurus atripennis
dicrurus occidentalis,dicrurus occidentalis
dicrurus sharpei,dicrurus sharpei
rhipidura superciliaris,rhipidura superciliaris
rhipidura samarensis,rhipidura samarensis
rhipidura cyaniceps,rhipidura cyaniceps
rhipidura sauli,rhipidura sauli
rhipidura albiventris,rhipidura albiventris
rhipidura albicollis,rhipidura albicollis
rhipidura albogularis,rhipidura albogularis
rhipidura euryura,rhipidura euryura
rhipidura aureola,rhipidura aureola
rhipidura javanica,rhipidura javanica
rhipidura nigritorquis,rhipidura nigritorquis
rhipidura perlata,rhipidura perlata
rhipidura leucophrys,rhipidura leucophrys
rhipidura diluta,rhipidura diluta
rhipidura fuscorufa,rhipidura fuscorufa
rhipidura rufiventris,rhipidura rufiventris
rhipidura kordensis,unknown
rhipidura cockerelli,rhipidura cockerelli
rhipidura threnothorax,rhipidura threnothorax
rhipidura maculipectus,rhipidura maculipectus
rhipidura leucothorax,rhipidura leucothorax
rhipidura atra,rhipidura atra
rhipidura hyperythra,rhipidura hyperythra
rhipidura albolimbata,rhipidura albolimbata
rhipidura albiscapa,rhipidura albiscapa
rhipidura fuliginosa,rhipidura fuliginosa
rhipidura phasiana,rhipidura phasiana
rhipidura drownei,rhipidura drownei
rhipidura tenebrosa,rhipidura tenebrosa
rhipidura rennelliana,rhipidura rennelliana
rhipidura verreauxi,rhipidura verreauxi
rhipidura personata,rhipidura personata
rhipidura nebulosa,rhipidura nebulosa
rhipidura phoenicura,rhipidura phoenicura
rhipidura nigrocinnamomea,rhipidura nigrocinnamomea
rhipidura brachyrhyncha,rhipidura brachyrhyncha
rhipidura lepida,rhipidura lepida
rhipidura dedemi,rhipidura dedemi
