ioc_12_2,clements
megapodius freycinet,megapodius freycinet
,megapodius forsteni
megapodius geelvinkianus,megapodius geelvinkianus
megapodius eremita,megapodius eremita
megapodius layardi,megapodius layardi
megapodius decollatus,megapodius decollatus
megapodius reinwardt,megapodius reinwardt
ortalis vetula,ortalis vetula
ortalis cinereiceps,ortalis cinereiceps
ortalis garrula,ortalis garrula
ortalis ruficauda,ortalis ruficauda
ortalis erythroptera,ortalis erythroptera
ortalis wagleri,ortalis wagleri
ortalis poliocephala,ortalis poliocephala
ortalis canicollis,ortalis canicollis
ortalis leucogastra,ortalis leucogastra
ortalis guttata,ortalis guttata
ortalis araucuan,ortalis araucuan
ortalis squamata,ortalis squamata
ortalis columbiana,ortalis columbiana
ortalis motmot,ortalis motmot
ortalis ruficeps,ortalis ruficeps
ortalis superciliaris,ortalis superciliaris
penelope argyrotis,penelope argyrotis
penelope barbata,penelope barbata
penelope ortoni,penelope ortoni
penelope montagnii,penelope montagnii
penelope marail,penelope marail
penelope superciliaris,penelope superciliaris
penelope dabbenei,penelope dabbenei
penelope purpurascens,penelope purpurascens
penelope perspicax,penelope perspicax
penelope albipennis,penelope albipennis
penelope jacquacu,penelope jacquacu
penelope obscura,penelope obscura
penelope bridgesi,penelope bridgesi
penelope pileata,penelope pileata
penelope ochrogaster,penelope ochrogaster
penelope jacucaca,penelope jacucaca
pipile pipile,pipile pipile
pipile cumanensis,pipile cumanensis
pipile cujubi,pipile cujubi
pipile jacutinga,pipile jacutinga
aburria aburri,aburria aburri
chamaepetes unicolor,chamaepetes unicolor
chamaepetes goudotii,chamaepetes goudotii
penelopina nigra,penelopina nigra
oreophasis derbianus,oreophasis derbianus
nothocrax urumutum,nothocrax urumutum
mitu tomentosum,mitu tomentosum
mitu salvini,mitu salvini
mitu tuberosum,mitu tuberosum
mitu mitu,mitu mitu
pauxi pauxi,pauxi pauxi
pauxi unicornis,pauxi unicornis
pauxi koepckeae,pauxi koepckeae
crax rubra,crax rubra
crax alberti,crax alberti
crax daubentoni,crax daubentoni
crax alector,crax alector
crax globulosa,crax globulosa
crax fasciolata,crax fasciolata
crax blumenbachii,crax blumenbachii
agelastes meleagrides,agelastes meleagrides
agelastes niger,agelastes niger
numida meleagris,numida meleagris
guttera plumifera,guttera plumifera
guttera pucherani,guttera pucherani
acryllium vulturinum,acryllium vulturinum
ptilopachus petrosus,ptilopachus petrosus
ptilopachus nahani,ptilopachus nahani
dendrortyx leucophrys,dendrortyx leucophrys
dendrortyx macroura,dendrortyx macroura
dendrortyx barbatus,dendrortyx barbatus
oreortyx pictus,oreortyx pictus
callipepla squamata,callipepla squamata
callipepla douglasii,callipepla douglasii
callipepla californica,callipepla californica
callipepla gambelii,callipepla gambelii
philortyx fasciatus,philortyx fasciatus
colinus virginianus,colinus virginianus
colinus nigrogularis,colinus nigrogularis
colinus leucopogon,unknown
colinus cristatus,colinus cristatus
odontophorus gujanensis,odontophorus gujanensis
odontophorus capueira,odontophorus capueira
odontophorus melanotis,odontophorus melanotis
odontophorus erythrops,odontophorus erythrops
odontophorus atrifrons,odontophorus atrifrons
odontophorus hyperythrus,odontophorus hyperythrus
odontophorus melanonotus,odontophorus melanonotus
odontophorus speciosus,odontophorus speciosus
odontophorus dialeucos,odontophorus dialeucos
odontophorus strophium,odontophorus strophium
odontophorus columbianus,odontophorus columbianus
odontophorus leucolaemus,odontophorus leucolaemus
odontophorus balliviani,odontophorus balliviani
odontophorus stellatus,odontophorus stellatus
odontophorus guttatus,odontophorus guttatus
dactylortyx thoracicus,dactylortyx thoracicus
cyrtonyx montezumae,cyrtonyx montezumae
cyrtonyx ocellatus,cyrtonyx ocellatus
rhynchortyx cinctus,rhynchortyx cinctus
xenoperdix udzungwensis,xenoperdix udzungwensis
xenoperdix obscuratus,unknown
caloperdix oculeus,caloperdix oculeus
rollulus rouloul,rollulus rouloul
melanoperdix niger,melanoperdix niger
arborophila torqueola,arborophila torqueola
arborophila rufipectus,arborophila rufipectus
arborophila mandellii,arborophila mandellii
arborophila gingica,arborophila gingica
arborophila rufogularis,arborophila rufogularis
arborophila rubrirostris,arborophila rubrirostris
arborophila diversa,unknown
arborophila cambodiana,arborophila cambodiana
arborophila ardens,arborophila ardens
arborophila crudigularis,arborophila crudigularis
arborophila atrogularis,arborophila atrogularis
arborophila brunneopectus,arborophila brunneopectus
arborophila davidi,arborophila davidi
arborophila hyperythra,arborophila hyperythra
arborophila campbelli,arborophila campbelli
arborophila rolli,arborophila rolli
arborophila sumatrana,arborophila sumatrana
arborophila javanica,arborophila javanica
arborophila orientalis,arborophila orientalis
lerwa lerwa,lerwa lerwa
ithaginis cruentus,ithaginis cruentus
tragopan melanocephalus,tragopan melanocephalus
tragopan satyra,tragopan satyra
tragopan blythii,tragopan blythii
tragopan temminckii,tragopan temminckii
tragopan caboti,tragopan caboti
tetraophasis obscurus,tetraophasis obscurus
tetraophasis szechenyii,tetraophasis szechenyii
lophophorus impejanus,lophophorus impejanus
lophophorus sclateri,lophophorus sclateri
lophophorus lhuysii,lophophorus lhuysii
pucrasia macrolopha,pucrasia macrolopha
meleagris gallopavo,meleagris gallopavo
meleagris ocellata,meleagris ocellata
bonasa umbellus,bonasa umbellus
tetrastes bonasia,tetrastes bonasia
tetrastes sewerzowi,tetrastes sewerzowi
centrocercus urophasianus,centrocercus urophasianus
centrocercus minimus,centrocercus minimus
dendragapus obscurus,dendragapus obscurus
dendragapus fuliginosus,dendragapus fuliginosus
tympanuchus phasianellus,tympanuchus phasianellus
tympanuchus cupido,tympanuchus cupido
tympanuchus pallidicinctus,tympanuchus pallidicinctus
lagopus leucura,lagopus leucura
lagopus lagopus,lagopus lagopus
lagopus muta,lagopus muta
falcipennis falcipennis,falcipennis falcipennis
canachites canadensis,canachites canadensis
tetrao urogallus,tetrao urogallus
tetrao urogalloides,tetrao urogalloides
lyrurus tetrix,lyrurus tetrix
lyrurus mlokosiewiczi,lyrurus mlokosiewiczi
rhizothera longirostris,rhizothera longirostris
rhizothera dulitensis,rhizothera dulitensis
perdix hodgsoniae,perdix hodgsoniae
perdix perdix,perdix perdix
perdix dauurica,perdix dauurica
syrmaticus soemmerringii,syrmaticus soemmerringii
syrmaticus reevesii,syrmaticus reevesii
syrmaticus mikado,syrmaticus mikado
syrmaticus ellioti,syrmaticus ellioti
syrmaticus humiae,syrmaticus humiae
chrysolophus pictus,chrysolophus pictus
chrysolophus amherstiae,chrysolophus amherstiae
phasianus colchicus,phasianus colchicus
phasianus versicolor,unknown
catreus wallichii,catreus wallichii
crossoptilon harmani,crossoptilon harmani
crossoptilon crossoptilon,crossoptilon crossoptilon
crossoptilon mantchuricum,crossoptilon mantchuricum
crossoptilon auritum,crossoptilon auritum
lophura edwardsi,lophura edwardsi
lophura swinhoii,lophura swinhoii
lophura bulweri,lophura bulweri
lophura leucomelanos,lophura leucomelanos
lophura nycthemera,lophura nycthemera
lophura erythrophthalma,lophura erythrophthalma
lophura diardi,lophura diardi
lophura inornata,lophura inornata
lophura ignita,lophura ignita
rheinardia ocellata,rheinardia ocellata
rheinardia nigrescens,rheinardia nigrescens
argusianus argus,argusianus argus
afropavo congensis,afropavo congensis
pavo cristatus,pavo cristatus
pavo muticus,pavo muticus
tropicoperdix chloropus,tropicoperdix chloropus
tropicoperdix charltonii,tropicoperdix charltonii
haematortyx sanguiniceps,haematortyx sanguiniceps
galloperdix spadicea,galloperdix spadicea
galloperdix lunulata,galloperdix lunulata
galloperdix bicalcarata,galloperdix bicalcarata
polyplectron napoleonis,polyplectron napoleonis
polyplectron schleiermacheri,polyplectron schleiermacheri
polyplectron malacense,polyplectron malacense
polyplectron germaini,polyplectron germaini
polyplectron katsumatae,polyplectron katsumatae
polyplectron bicalcaratum,polyplectron bicalcaratum
polyplectron inopinatum,polyplectron inopinatum
polyplectron chalcurum,polyplectron chalcurum
bambusicola fytchii,bambusicola fytchii
bambusicola thoracicus,bambusicola thoracicus
bambusicola sonorivox,bambusicola sonorivox
gallus varius,gallus varius
gallus gallus,gallus gallus
gallus sonneratii,gallus sonneratii
gallus lafayettii,gallus lafayettii
peliperdix lathami,peliperdix lathami
ortygornis sephaena,ortygornis sephaena
ortygornis pondicerianus,ortygornis pondicerianus
ortygornis gularis,ortygornis gularis
francolinus pintadeanus,francolinus pintadeanus
francolinus francolinus,francolinus francolinus
francolinus pictus,francolinus pictus
campocolinus coqui,campocolinus coqui
campocolinus albogularis,campocolinus albogularis
campocolinus schlegelii,campocolinus schlegelii
scleroptila streptophora,scleroptila streptophora
scleroptila levaillantii,scleroptila levaillantii
scleroptila finschi,scleroptila finschi
scleroptila psilolaema,scleroptila psilolaema
scleroptila elgonensis,unknown
scleroptila afra,scleroptila afra
scleroptila gutturalis,scleroptila gutturalis
scleroptila shelleyi,scleroptila shelleyi
tetraogallus tibetanus,tetraogallus tibetanus
tetraogallus altaicus,tetraogallus altaicus
tetraogallus caucasicus,tetraogallus caucasicus
tetraogallus caspius,tetraogallus caspius
tetraogallus himalayensis,tetraogallus himalayensis
ammoperdix griseogularis,ammoperdix griseogularis
ammoperdix heyi,ammoperdix heyi
synoicus ypsilophorus,synoicus ypsilophorus
synoicus monorthonyx,synoicus monorthonyx
synoicus chinensis,synoicus chinensis
synoicus adansonii,synoicus adansonii
margaroperdix madagarensis,margaroperdix madagarensis
coturnix coturnix,coturnix coturnix
coturnix japonica,coturnix japonica
coturnix delegorguei,coturnix delegorguei
coturnix coromandelica,coturnix coromandelica
coturnix pectoralis,coturnix pectoralis
coturnix novaezelandiae,coturnix novaezelandiae
alectoris barbara,alectoris barbara
alectoris melanocephala,alectoris melanocephala
alectoris rufa,alectoris rufa
alectoris chukar,alectoris chukar
alectoris graeca,alectoris graeca
alectoris philbyi,alectoris philbyi
alectoris magna,alectoris magna
perdicula asiatica,perdicula asiatica
perdicula argoondah,perdicula argoondah
