ebird2021,bird_families,comment
bkhgro,cardinalidae,
bkhgul,laridae,
bkhpaf2,monarchidae,
bkhpar,psittacidae,
bkhpar1,sylviidae,
bkhpit1,pittidae,
bklbab1,leiothrichidae,
bklkit,laridae,
bkmtou1,ramphastidae,
bknfrd1,columbidae,
bknsti,recurvirostridae,
bknsti2,recurvirostridae,
bkpwar,parulidae,
bkrfin,fringillidae,
bkrfla2,picidae,
bkrwax,estrildidae,
bkrwhe1,zosteropidae,
bksbrf1,passerellidae,
bkskit1,accipitridae,
bksnig1,caprimulgidae,
bkspet,hydrobatidae,
bksscb1,timaliidae,
bktflo1,thraupidae,
bktgna,polioptilidae,
bktgod,scolopacidae,
bktgul,laridae,
bkther1,trochilidae,
bktshr1,monarchidae,
bktshr2,monarchidae,
bktspa,passerellidae,
bkttre1,climacteridae,
bkttro2,trogonidae,
bkvori,icteridae,
bkvshe,procellariidae,
bkwcus1,campephagidae,
bkwpet,procellariidae,
bkwsta1,sturnidae,
bkwsti,recurvirostridae,
bkwvir,vireonidae,
blaant1,thamnophilidae,
blaant2,thamnophilidae,
blaant4,thamnophilidae,
blaant5,thamnophilidae,
blabab2,leiothrichidae,
blabaz1,accipitridae,
blaber1,melanocharitidae,
blabis1,ploceidae,
blabit1,ardeidae,
blabul1,pycnonotidae,
blabus1,thamnophilidae,
blabus3,otididae,
blabut1,artamidae,
blacar1,falconidae,
blacat1,mimidae,
blacin1,furnariidae,
blackc1,sylviidae,
blacks1,muscicapidae,
blacou1,cuculidae,
blacra1,rallidae,
blacuc1,cuculidae,
blacur1,cracidae,
blacur2,artamidae,
blacus1,campephagidae,
bladro1,dicruridae,
blaeag1,accipitridae,
blafal1,falconidae,
blafan1,rhipiduridae,
blagos1,accipitridae,
blagra1,maluridae,
blagro1,phasianidae,
blagua1,cracidae,
blagui1,numididae,
blahar1,accipitridae,
blaher1,ardeidae,
blahon1,meliphagidae,
blahor1,bucerotidae,
blaill1,pellorneidae,
blainc1,trochilidae,
blakit1,accipitridae,
blalar1,alaudidae,
blalar2,alaudidae,
blalar4,alaudidae,
blalau1,timaliidae,
blalor1,psittaculidae,
blamag1,corvidae,
blaman1,pipridae,
blamet1,trochilidae,
blamon1,monarchidae,
blamun1,estrildidae,
blamyz1,meliphagidae,
blanig1,caprimulgidae,
blanun1,bucconidae,
blaori1,oriolidae,
blaoro1,icteridae,
blaoys1,haematopodidae,
blapar1,psittaculidae,
blapar2,phasianidae,
blapew1,tyrannidae,
blapit1,pachycephalidae,
blaplo1,charadriidae,
blarai1,rallidae,
blared1,muscicapidae,
blarob1,turdidae,
blaros1,fringillidae,
blasha1,muscicapidae,
blasic1,paradisaeidae,
blasis1,fringillidae,
blasno1,passeridae,
blasol1,turdidae,
blaspi1,apodidae,
blasti1,recurvirostridae,
blasto1,ciconiidae,
blatap1,rhinocryptidae,
blatin1,tinamidae,
blawhe1,muscicapidae,
blawoo1,picidae,
blbant1,thamnophilidae,
blbant2,thamnophilidae,
blbbab1,pellorneidae,
blbbar1,lybiidae,
blbbar2,megalaimidae,
blbbar3,lybiidae,
blbbar4,lybiidae,
blbbar5,megalaimidae,
blbboa1,machaerirhynchidae,
blbbut1,artamidae,
blbbut2,turnicidae,
blbcap1,phasianidae,
blbcon1,thraupidae,
blbcra1,rallidae,
blbcuc1,cuculidae,
blbduc1,anatidae,
blbeat1,meropidae,
blbfai1,maluridae,
blbfir1,estrildidae,
blbflo1,dicaeidae,
blbfly1,tyrannidae,
blbfly2,muscicapidae,
blbfly3,muscicapidae,
blbfor1,muscicapidae,
